key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
2ahgvr,357716,2022-04-28T16:29:00Z,120,31792c68-de04-433c-a306-7598eada2d2f,129.0,Pomme,Exercice,Pomme
2ahgvr,358749,2022-05-02T07:41:31Z,120,aa859e5b-563f-472c-9914-036722ebf60e,238.0,Muesli,Mélange noté juste en dessous,"Muesli, Blanc battu, Flocons d'avoine, Graines de chia, Miel"
2ahgvr,358749,2022-05-02T07:41:31Z,120,aa859e5b-563f-472c-9914-036722ebf60e,200.0,Blanc battu,Mélange,"Muesli, Blanc battu, Flocons d'avoine, Graines de chia, Miel"
2ahgvr,358749,2022-05-02T07:41:31Z,120,aa859e5b-563f-472c-9914-036722ebf60e,25.0,Flocons d'avoine,Mélange,"Muesli, Blanc battu, Flocons d'avoine, Graines de chia, Miel"
2ahgvr,358749,2022-05-02T07:41:31Z,120,aa859e5b-563f-472c-9914-036722ebf60e,8.0,Graines de chia,Mélange,"Muesli, Blanc battu, Flocons d'avoine, Graines de chia, Miel"
2ahgvr,358749,2022-05-02T07:41:31Z,120,aa859e5b-563f-472c-9914-036722ebf60e,5.0,Miel,Mélange,"Muesli, Blanc battu, Flocons d'avoine, Graines de chia, Miel"
2ahgvr,358755,2022-05-02T07:57:00Z,120,09cec6f6-e759-4f53-9d4b-a24ec0c4be4e,76.0,Banane,Pesée sans la peau,Banane
2ahgvr,358872,2022-05-02T11:45:33Z,120,d50294a6-302a-456b-a1e1-1d7ecf04f774,93.0,Carotte pelée ,,Carotte pelée 
2ahgvr,358876,2022-05-02T12:03:05Z,120,3f0e642f-99d9-405d-a594-a5dd0f4d93f8,182.0,Riz basmati cuit,,"Riz basmati cuit, Haricots coco, Dal de lentilles rouges"
2ahgvr,358876,2022-05-02T12:03:05Z,120,3f0e642f-99d9-405d-a594-a5dd0f4d93f8,99.0,Haricots coco,,"Riz basmati cuit, Haricots coco, Dal de lentilles rouges"
2ahgvr,358876,2022-05-02T12:03:05Z,120,3f0e642f-99d9-405d-a594-a5dd0f4d93f8,175.0,Dal de lentilles rouges,,"Riz basmati cuit, Haricots coco, Dal de lentilles rouges"
2ahgvr,359049,2022-05-02T19:15:07Z,120,c9826c1c-42e1-4363-9dcc-cf68d7642c4e,63.0,Gyozas végétariens (3 pièces),,Gyozas végétariens (3 pièces)
2ahgvr,363593,2022-05-15T07:58:02Z,120,b8540d8b-d377-4484-abcd-0071bf431d0d,46.0,Porridge,"Avoine, lait ","Porridge, Purée d'amande "
2ahgvr,363593,2022-05-15T07:58:02Z,120,b8540d8b-d377-4484-abcd-0071bf431d0d,7.0,Purée d'amande ,,"Porridge, Purée d'amande "
2ahgvr,363600,2022-05-15T08:25:53Z,120,54c720ac-21ac-42f0-8c86-338cfeb132d6,106.0,Pomme,,Pomme
2ahgvr,363660,2022-05-15T11:27:06Z,120,0db22403-901c-4a3a-988b-7dc61881cd1c,266.0,Pâtes aux crevettes,Mélange noté en dessous,"Pâtes aux crevettes, Pâtes cuites, Crême fraîche aux herbes, Crevettes décortiquées cuites"
2ahgvr,363660,2022-05-15T11:27:06Z,120,0db22403-901c-4a3a-988b-7dc61881cd1c,148.0,Pâtes cuites,Mélange,"Pâtes aux crevettes, Pâtes cuites, Crême fraîche aux herbes, Crevettes décortiquées cuites"
2ahgvr,363660,2022-05-15T11:27:06Z,120,0db22403-901c-4a3a-988b-7dc61881cd1c,22.0,Crême fraîche aux herbes,Mélange,"Pâtes aux crevettes, Pâtes cuites, Crême fraîche aux herbes, Crevettes décortiquées cuites"
2ahgvr,363660,2022-05-15T11:27:06Z,120,0db22403-901c-4a3a-988b-7dc61881cd1c,96.0,Crevettes décortiquées cuites,Mélange,"Pâtes aux crevettes, Pâtes cuites, Crême fraîche aux herbes, Crevettes décortiquées cuites"
2ahgvr,363746,2022-05-15T16:23:07Z,120,feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,55.0,Toast ,,"Toast , Fromage frais"
2ahgvr,363746,2022-05-15T16:23:07Z,120,feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,19.0,Fromage frais,,"Toast , Fromage frais"
2ahgvr,363817,2022-05-15T20:26:27Z,120,19373bec-d875-41b2-ba34-8dc05821081b,104.0,Pomme,,Pomme
2ahgvr,363969,2022-05-16T11:35:57Z,120,3718d88c-ba98-4da1-84dc-7d5ad0a4df92,118.0,Colrave crue ,,Colrave crue 
2ahgvr,363970,2022-05-16T11:36:47Z,120,a35f3211-3b33-4826-97b8-3af69655dada,48.0,Porridge salé,,Porridge salé
2ahgvr,363971,2022-05-16T11:37:20Z,120,be3c4146-9940-432b-a606-c01e319978f7,124.0,Poire,,Poire
2ahgvr,364087,2022-05-16T19:43:53Z,120,26658360-caa6-4e64-a811-7e5538268455,101.0,Carotte,,Carotte
2ahgvr,364088,2022-05-16T19:44:21Z,120,db02ddb8-4bbb-4f48-bc32-55a1cde35ba5,45.0,Humus,,Humus
2ahgvr,364159,2022-05-17T07:39:03Z,120,1daf744b-ac33-4b3d-99b3-c6de4358a61a,44.0,Porridge,,"Porridge, Purée d'amande, Figue séchée, Cerneaux de noix"
2ahgvr,364159,2022-05-17T07:39:03Z,120,1daf744b-ac33-4b3d-99b3-c6de4358a61a,5.0,Purée d'amande,,"Porridge, Purée d'amande, Figue séchée, Cerneaux de noix"
2ahgvr,364159,2022-05-17T07:39:03Z,120,1daf744b-ac33-4b3d-99b3-c6de4358a61a,14.0,Figue séchée,1 entière,"Porridge, Purée d'amande, Figue séchée, Cerneaux de noix"
2ahgvr,364159,2022-05-17T07:39:03Z,120,1daf744b-ac33-4b3d-99b3-c6de4358a61a,9.0,Cerneaux de noix,2 cerneaux,"Porridge, Purée d'amande, Figue séchée, Cerneaux de noix"
2ahgvr,364189,2022-05-17T09:53:36Z,120,e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,40.0,Humus maison,"Pois-chiches, tahini, jus de citron, huile d'olive",Humus maison
2ahgvr,364191,2022-05-17T10:00:01Z,120,c476a6d0-acb2-45fd-b168-84822bc98003,315.0,Salade grecque,"Poivrons, concombre, oignons frais, olives, feta ","Salade grecque, Sauce à salade maison"
2ahgvr,364191,2022-05-17T10:00:01Z,120,c476a6d0-acb2-45fd-b168-84822bc98003,36.0,Sauce à salade maison,"Huile de colza, vinaigre balsamique, moutarde, sel, poivre","Salade grecque, Sauce à salade maison"
2ahgvr,364204,2022-05-17T10:17:52Z,120,1886c243-b497-4c0c-b749-b380873c5f23,16.0,Bout de pain au lait,,Bout de pain au lait
2ahgvr,364205,2022-05-17T10:19:19Z,120,4f969f6c-979b-4e8e-878b-283d5bbc9ad5,14.0,Bout de pain au lait,,Bout de pain au lait
2ahgvr,364350,2022-05-17T20:45:08Z,120,bd4b5178-cab2-40c8-8df4-a328cb700a6a,216.0,Pâtes avec sauce à la demi-crème + safran,,"Pâtes avec sauce à la demi-crème + safran, Brochettes de saucisses"
2ahgvr,364350,2022-05-17T20:45:08Z,120,bd4b5178-cab2-40c8-8df4-a328cb700a6a,177.0,Brochettes de saucisses,,"Pâtes avec sauce à la demi-crème + safran, Brochettes de saucisses"
2ahgvr,364399,2022-05-18T07:17:37Z,120,b6a1c604-8dc0-4bb1-ae48-48d6d5f97d14,111.0,Banane,,Banane
2ahgvr,364431,2022-05-18T10:20:51Z,120,31d83e4b-304c-4128-a36d-aa34317ebaed,150.0,Pâtes,,"Pâtes, Sauce tomate au thon, Poivrons, Parmesan râpé"
2ahgvr,364431,2022-05-18T10:20:51Z,120,31d83e4b-304c-4128-a36d-aa34317ebaed,44.0,Sauce tomate au thon,,"Pâtes, Sauce tomate au thon, Poivrons, Parmesan râpé"
2ahgvr,364431,2022-05-18T10:20:51Z,120,31d83e4b-304c-4128-a36d-aa34317ebaed,87.0,Poivrons,,"Pâtes, Sauce tomate au thon, Poivrons, Parmesan râpé"
2ahgvr,364431,2022-05-18T10:20:51Z,120,31d83e4b-304c-4128-a36d-aa34317ebaed,11.0,Parmesan râpé,,"Pâtes, Sauce tomate au thon, Poivrons, Parmesan râpé"
2ahgvr,364619,2022-05-19T08:56:17Z,120,fd966b55-230a-4e0e-818b-3580319800c6,25.0,Flocons d'avoine,,"Flocons d'avoine, Graines de chia, Blanc battu, Miel , Purée d'amande"
2ahgvr,364619,2022-05-19T08:56:17Z,120,fd966b55-230a-4e0e-818b-3580319800c6,6.0,Graines de chia,,"Flocons d'avoine, Graines de chia, Blanc battu, Miel , Purée d'amande"
2ahgvr,364619,2022-05-19T08:56:17Z,120,fd966b55-230a-4e0e-818b-3580319800c6,154.0,Blanc battu,,"Flocons d'avoine, Graines de chia, Blanc battu, Miel , Purée d'amande"
2ahgvr,364619,2022-05-19T08:56:17Z,120,fd966b55-230a-4e0e-818b-3580319800c6,5.0,Miel ,,"Flocons d'avoine, Graines de chia, Blanc battu, Miel , Purée d'amande"
2ahgvr,364619,2022-05-19T08:56:17Z,120,fd966b55-230a-4e0e-818b-3580319800c6,8.0,Purée d'amande,,"Flocons d'avoine, Graines de chia, Blanc battu, Miel , Purée d'amande"
2ahgvr,364655,2022-05-19T11:54:48Z,120,73ff013c-7f3f-4d46-90c2-77f1e0a1a9da,180.0,Yogourt caramel beurre salé,,Yogourt caramel beurre salé
2ahgvr,364705,2022-05-19T17:24:47Z,120,02d38718-0a21-4e6e-bffd-41eac4914809,224.0,Sandwich au fromage,,Sandwich au fromage
2ahgvr,364856,2022-05-20T11:27:48Z,120,128345aa-69cb-4443-a341-a6ad045a7753,135.0,Haricots coco,,"Haricots coco, Riz et lentilles au curry"
2ahgvr,364856,2022-05-20T11:27:48Z,120,128345aa-69cb-4443-a341-a6ad045a7753,88.0,Riz et lentilles au curry,,"Haricots coco, Riz et lentilles au curry"
2ahgvr,364867,2022-05-20T12:14:15Z,120,c954f821-fbb7-4a62-8de5-b783fd087c94,496.0,Bière pression,,Bière pression
2ahgvr,364890,2022-05-20T13:58:09Z,120,e557b056-a7bc-46bb-acb3-8a704b79c6e3,249.0,Sandwich au chèvre chaud,,Sandwich au chèvre chaud
2ahgvr,364955,2022-05-20T18:45:53Z,120,cc0236be-003c-4461-a923-2628da9296df,250.0,Bière Boxer,,Bière Boxer
2ahgvr,364967,2022-05-20T19:18:17Z,120,5b8a0853-ecc4-4015-bc9a-2b50766f873a,6.0,Sauce andalouse,,"Sauce andalouse, Pain, Brochette de boeuf, Salade de pâtes, Mergez"
