key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
xjvrtk,359371,2022-05-03T16:45:06Z,120,1fa390c1-9169-42c0-abbd-3aa6e1a5c90b,100.0,carotte,souper,"concombre, tomate, carotte, graines de courge, vinaigre, sérac"
xjvrtk,362852,2022-05-12T19:31:32Z,120,32289b41-a85a-4563-8e38-c47e7693d2d0,200.0,galettes millet haricots noirs maïs,souper,"salade verte, galettes millet haricots noirs maïs, vinaigre balsamique, purée betterave lentilles"
p96w4a,365397,2022-05-22T17:37:14Z,120,4e021399-8a90-44fe-b06c-0955cd2280f7,23.0,asperges,,"riz, tomate cerise, pêche , maïs, asperges, thon, haricot rouge, oeuf, sauce à salade"
m4egh2,364327,2022-05-17T19:12:56Z,120,c31013e3-9c81-4ba6-b85b-e3c45b062457,13.0,panais,,"Pommes de terre, Fêta, Carottes, Panais, Aubergines, Racines rouges"
p96w4a,362690,2022-05-12T11:42:18Z,120,b5400739-21a8-476b-b27b-706d3428b891,150.0,pâtes ,,pâtes 
8japfq,362230,2022-05-11T10:16:06Z,120,885c0212-0193-4a37-b6a9-a1dab36f03c5,118.0,yaourt nature ,,"Pomme, Yaourt nature "
2ahgvr,366388,2022-05-29T07:28:29Z,120,6b1cc73c-e22b-4132-970e-e37910b8b407,13.0,crème de marrons,,"Pain , Crème de marrons"
xjvrtk,361984,2022-05-10T17:18:36Z,120,050419f6-32ae-4276-9993-de18feaccbd1,200.0,poire,souper,poire
wrah5h,363932,2022-05-16T10:22:58Z,120,e3bda09e-e437-4ac8-bfbf-4f282e801bfc,90.0,pain/galette ,dîner,pain/galette 
wrah5h,364426,2022-05-18T10:12:40Z,120,8de465e6-eb71-4c8f-8cdb-f587e9c8bef8,117.0,sauce tomate ,dîner,"tagliatelles , omelette aux tomates , sauce tomate , gruyère râpé "
ppf8hc,365921,2022-05-25T18:39:34Z,120,8e2ab1f4-8271-4112-8c2f-f399d360b591,57.0,tartelettes aux chocolats ,,"tartelettes aux chocolats , tartelettes aux fraises "
8japfq,364418,2022-05-18T09:47:39Z,120,e3dd97fc-f060-4191-b7c5-c7c2100b5e6e,89.0,tomate ,,"Blé, Gratin de côte de bette, crème et tomates séchées , Tomate "
ppf8hc,365803,2022-05-25T06:12:06Z,120,f697ce48-4742-4e58-a44b-67e563c6653a,62.0,gâche ,,"gâche , pâte à tartiner au chocolat "
8japfq,363998,2022-05-16T14:07:51Z,120,957d68a9-f6f0-4c22-9da8-5d4457f515e5,47.0,cookie,,Cookie
