key,image_id,url,description,weight,predicted_weight,absolute_error
2ahgvr,31792c68-de04-433c-a306-7598eada2d2f,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31792c68-de04-433c-a306-7598eada2d2f,pomme,129.0,180,51.0
2ahgvr,aa859e5b-563f-472c-9914-036722ebf60e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,muesli,238.0,50,188.0
2ahgvr,aa859e5b-563f-472c-9914-036722ebf60e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,blanc battu,200.0,200,0.0
2ahgvr,aa859e5b-563f-472c-9914-036722ebf60e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,flocons d'avoine,25.0,30,5.0
2ahgvr,aa859e5b-563f-472c-9914-036722ebf60e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,graines de chia,8.0,10,2.0
2ahgvr,aa859e5b-563f-472c-9914-036722ebf60e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,miel,5.0,15,10.0
2ahgvr,09cec6f6-e759-4f53-9d4b-a24ec0c4be4e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/09cec6f6-e759-4f53-9d4b-a24ec0c4be4e,banane,76.0,120,44.0
2ahgvr,d50294a6-302a-456b-a1e1-1d7ecf04f774,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/d50294a6-302a-456b-a1e1-1d7ecf04f774,carotte pelée,93.0,120,27.0
2ahgvr,3f0e642f-99d9-405d-a594-a5dd0f4d93f8,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3f0e642f-99d9-405d-a594-a5dd0f4d93f8,riz basmati cuit,182.0,150,32.0
2ahgvr,3f0e642f-99d9-405d-a594-a5dd0f4d93f8,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3f0e642f-99d9-405d-a594-a5dd0f4d93f8,haricots coco,99.0,120,21.0
2ahgvr,3f0e642f-99d9-405d-a594-a5dd0f4d93f8,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3f0e642f-99d9-405d-a594-a5dd0f4d93f8,dal de lentilles rouges,175.0,120,55.0
2ahgvr,c9826c1c-42e1-4363-9dcc-cf68d7642c4e,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c9826c1c-42e1-4363-9dcc-cf68d7642c4e,gyozas végétariens (3 pièces),63.0,75,12.0
2ahgvr,b8540d8b-d377-4484-abcd-0071bf431d0d,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d,porridge,46.0,200,154.0
2ahgvr,b8540d8b-d377-4484-abcd-0071bf431d0d,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d,purée d'amande,7.0,15,8.0
2ahgvr,54c720ac-21ac-42f0-8c86-338cfeb132d6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/54c720ac-21ac-42f0-8c86-338cfeb132d6,pomme,106.0,180,74.0
2ahgvr,0db22403-901c-4a3a-988b-7dc61881cd1c,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,pâtes aux crevettes,266.0,350,84.0
2ahgvr,0db22403-901c-4a3a-988b-7dc61881cd1c,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,pâtes cuites,148.0,180,32.0
2ahgvr,0db22403-901c-4a3a-988b-7dc61881cd1c,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,crême fraîche aux herbes,22.0,50,28.0
2ahgvr,0db22403-901c-4a3a-988b-7dc61881cd1c,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,crevettes décortiquées cuites,96.0,80,16.0
2ahgvr,feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,toast,55.0,60,5.0
2ahgvr,feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,fromage frais,19.0,20,1.0
2ahgvr,19373bec-d875-41b2-ba34-8dc05821081b,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/19373bec-d875-41b2-ba34-8dc05821081b,pomme,104.0,180,76.0
2ahgvr,3718d88c-ba98-4da1-84dc-7d5ad0a4df92,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,colrave crue,118.0,150,32.0
2ahgvr,a35f3211-3b33-4826-97b8-3af69655dada,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a35f3211-3b33-4826-97b8-3af69655dada,porridge salé,48.0,180,132.0
2ahgvr,be3c4146-9940-432b-a606-c01e319978f7,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/be3c4146-9940-432b-a606-c01e319978f7,poire,124.0,180,56.0
2ahgvr,26658360-caa6-4e64-a811-7e5538268455,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/26658360-caa6-4e64-a811-7e5538268455,carotte,101.0,75,26.0
2ahgvr,db02ddb8-4bbb-4f48-bc32-55a1cde35ba5,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/db02ddb8-4bbb-4f48-bc32-55a1cde35ba5,humus,45.0,200,155.0
2ahgvr,1daf744b-ac33-4b3d-99b3-c6de4358a61a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,porridge,44.0,180,136.0
2ahgvr,1daf744b-ac33-4b3d-99b3-c6de4358a61a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,purée d'amande,5.0,15,10.0
2ahgvr,1daf744b-ac33-4b3d-99b3-c6de4358a61a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,figue séchée,14.0,15,1.0
2ahgvr,1daf744b-ac33-4b3d-99b3-c6de4358a61a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,cerneaux de noix,9.0,15,6.0
2ahgvr,e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,humus maison,40.0,120,80.0
2ahgvr,c476a6d0-acb2-45fd-b168-84822bc98003,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,salade grecque,315.0,250,65.0
2ahgvr,c476a6d0-acb2-45fd-b168-84822bc98003,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,sauce à salade maison,36.0,20,16.0
2ahgvr,1886c243-b497-4c0c-b749-b380873c5f23,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1886c243-b497-4c0c-b749-b380873c5f23,bout de pain au lait,16.0,20,4.0
2ahgvr,4f969f6c-979b-4e8e-878b-283d5bbc9ad5,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/4f969f6c-979b-4e8e-878b-283d5bbc9ad5,bout de pain au lait,14.0,20,6.0
2ahgvr,bd4b5178-cab2-40c8-8df4-a328cb700a6a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/bd4b5178-cab2-40c8-8df4-a328cb700a6a,pâtes avec sauce à la demi-crème + safran,216.0,180,36.0
2ahgvr,bd4b5178-cab2-40c8-8df4-a328cb700a6a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/bd4b5178-cab2-40c8-8df4-a328cb700a6a,brochettes de saucisses,177.0,120,57.0
2ahgvr,b6a1c604-8dc0-4bb1-ae48-48d6d5f97d14,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b6a1c604-8dc0-4bb1-ae48-48d6d5f97d14,banane,111.0,120,9.0
2ahgvr,31d83e4b-304c-4128-a36d-aa34317ebaed,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,pâtes,150.0,150,0.0
2ahgvr,31d83e4b-304c-4128-a36d-aa34317ebaed,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,sauce tomate au thon,44.0,80,36.0
2ahgvr,31d83e4b-304c-4128-a36d-aa34317ebaed,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,poivrons,87.0,40,47.0
2ahgvr,31d83e4b-304c-4128-a36d-aa34317ebaed,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,parmesan râpé,11.0,10,1.0
2ahgvr,fd966b55-230a-4e0e-818b-3580319800c6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,flocons d'avoine,25.0,40,15.0
2ahgvr,fd966b55-230a-4e0e-818b-3580319800c6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,graines de chia,6.0,15,9.0
2ahgvr,fd966b55-230a-4e0e-818b-3580319800c6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,blanc battu,154.0,150,4.0
2ahgvr,fd966b55-230a-4e0e-818b-3580319800c6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,miel,5.0,10,5.0
2ahgvr,fd966b55-230a-4e0e-818b-3580319800c6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,purée d'amande,8.0,15,7.0
2ahgvr,73ff013c-7f3f-4d46-90c2-77f1e0a1a9da,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/73ff013c-7f3f-4d46-90c2-77f1e0a1a9da,yogourt caramel beurre salé,180.0,150,30.0
2ahgvr,02d38718-0a21-4e6e-bffd-41eac4914809,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/02d38718-0a21-4e6e-bffd-41eac4914809,sandwich au fromage,224.0,250,26.0
2ahgvr,128345aa-69cb-4443-a341-a6ad045a7753,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/128345aa-69cb-4443-a341-a6ad045a7753,haricots coco,135.0,120,15.0
2ahgvr,128345aa-69cb-4443-a341-a6ad045a7753,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/128345aa-69cb-4443-a341-a6ad045a7753,riz et lentilles au curry,88.0,180,92.0
2ahgvr,c954f821-fbb7-4a62-8de5-b783fd087c94,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c954f821-fbb7-4a62-8de5-b783fd087c94,bière pression,496.0,500,4.0
2ahgvr,e557b056-a7bc-46bb-acb3-8a704b79c6e3,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e557b056-a7bc-46bb-acb3-8a704b79c6e3,sandwich au chèvre chaud,249.0,250,1.0
2ahgvr,cc0236be-003c-4461-a923-2628da9296df,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cc0236be-003c-4461-a923-2628da9296df,bière boxer,250.0,330,80.0
2ahgvr,5b8a0853-ecc4-4015-bc9a-2b50766f873a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a,sauce andalouse,6.0,20,14.0
2ahgvr,5b8a0853-ecc4-4015-bc9a-2b50766f873a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a,pain,28.0,30,2.0
2ahgvr,5b8a0853-ecc4-4015-bc9a-2b50766f873a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a,brochette de boeuf,76.0,90,14.0
2ahgvr,5b8a0853-ecc4-4015-bc9a-2b50766f873a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a,salade de pâtes,104.0,120,16.0
2ahgvr,5b8a0853-ecc4-4015-bc9a-2b50766f873a,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a,mergez,93.0,60,33.0
