key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
xjvrtk,tomates cerises,500.0,200,300.0,18.232648596086058,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a cardboard container filled with cherry tomatoes, some still on the vine. I can see approximately 20 tomatoes. A typical cherry tomato weighs around 10 grams. Therefore, 20 tomatoes would weigh approximately 200 grams."
8japfq,"pizza champignons, olives, courgettes",183.0,350,167.0,3.7147198249665734,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a pizza cut into several slices. The pizza has toppings of mushrooms, olives, and zucchini. I will estimate the weight of the entire pizza, including the crust and toppings. The pizza appears to be a medium-sized pizza. I estimate the weight of the pizza to be around 350 grams."
2ahgvr,colrave crue,118.0,250,132.0,1.8932782302175764,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plate of what appears to be raw kohlrabi (colrave crue) cut into irregular pieces. The pieces are of varying sizes, but generally appear to be about 1-2 cm thick. The plate is filled with a single layer of these pieces. I will estimate the weight based on the volume and density of kohlrabi. The plate appears to be a small plastic tray. I estimate the total weight of the kohlrabi to be around 250 grams."
p8a2w5,pillons de poulet,112.0,240,128.0,1.742555001823265,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/bdb25c53-2eb7-4a81-b33e-6d28997d0183,"Let's work this out in a step by step way to be sure we have the right answer. I can see 6 chicken drumsticks (pillons de poulet) on the plate. They appear to be of average size. I will estimate the weight of each drumstick to be around 40 grams. Therefore, the total weight of the chicken drumsticks is 6 * 40 = 240 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,80,118.0,2.839917345326364,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plate with rice, fish, and sautéed vegetables (carrots, leeks). The sautéed vegetables are a mix of sliced carrots and leeks. The vegetables are not piled high, but rather spread out on the plate. I will estimate the weight of the vegetables based on their volume and density. The carrots appear to be sliced into relatively thin pieces. The leeks are also sliced. The total volume of the vegetables is moderate. I estimate the weight of the sautéed vegetables to be around 80 grams."
xjvrtk,salade de tomates,417.0,300,117.0,5.930351282362952,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ce668b40-a61f-4ac1-abfd-a150071ddd76,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a salad made of sliced tomatoes. The tomatoes are arranged on a plate and topped with flax seeds and basil. The tomatoes appear to be medium-sized and sliced into wedges. The plate is full, but not overflowing. I estimate the weight of the tomatoes to be around 300 grams, considering the size and density of tomatoes."
wrah5h,pomme,95.0,180,85.0,0.9815242494226328,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a single red apple. It appears to be a medium-sized apple. Based on its size and shape, I estimate its weight to be around 180 grams."
xjvrtk,galettes millet haricots noirs maïs,200.0,120,80.0,1.9448158502491795,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/32289b41-a85a-4563-8e38-c47e7693d2d0,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a bowl with several food items. The specified food item is 'galettes millet haricots noirs maïs'. I can see two galettes in the bowl. They appear to be made of millet, black beans, and corn. Each galette is roughly circular and has a diameter of about 6-7 cm and a thickness of about 1.5 cm. Given the ingredients and the size, I estimate each galette weighs around 60 grams. Therefore, the total weight of the two galettes is approximately 120 grams."
wrah5h,tiramisu,72.0,150,78.0,0.682630363437462,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/7b0475df-5b02-4072-abb9-ef75acf0f031,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plate with two desserts: tiramisu and forêt noir. I need to estimate the weight of the tiramisu. The tiramisu is a layered dessert with a creamy top. It appears to be a substantial portion. Based on the visual size and density, I estimate the tiramisu to weigh around 150 grams."
p8a2w5,viande,44.0,120,76.0,0.4064665127020785,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9db1412f-0390-4151-9d81-2b27a4f9a0d9,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a slice of meatloaf on a plate. The meatloaf appears to be about 1.5 cm thick and has a surface area of approximately 80 cm^2. Assuming a density similar to cooked ground meat, I estimate the weight to be around 120 grams."
