key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
8japfq,"pizza champignons, olives, courgettes",183.0,450.0,267.0,5.827191413237925,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a pizza with toppings of mushrooms ('champignons'), olives, and zucchini ('courgettes'). There are four slices visible, and the pizza appears to be a medium-sized thin-crust pizza. A typical medium pizza weighs around 400-500 grams, including the crust, cheese, and toppings. Given the visible size and the fact that the pizza is thin-crust with moderate toppings, I estimate the total weight of the pizza to be approximately 450 grams."
r3bub9,tomate,50.0,165.0,115.0,0.6857483601669648,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,"Let's work this out in a step by step way to be sure we have the right answer. The tomatoes ('tomate') are located in the middle section of the container. They are cut into medium-sized pieces, and their volume appears to occupy about one-third of the container. Based on the size and density of the tomato pieces, and considering that tomatoes are mostly water, the weight of the visible portion is likely around 150-180 grams. Given the context and the visual evidence, I estimate the weight of the tomatoes to be approximately 165 grams."
xjvrtk,myrtilles,200.0,90.0,110.0,2.623732856290996,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/4d153e2f-e2dc-478b-80de-472793d5b51e,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small bowl filled with blueberries ('myrtilles'). Blueberries typically weigh about 0.5-1 gram each. The bowl appears to contain approximately 100-120 blueberries, based on their size and the bowl's fullness. Assuming an average weight of 0.8 grams per blueberry, the total weight of the blueberries is approximately 80-96 grams. Considering the density and the bowl's size, I estimate the total weight of the blueberries to be around 90 grams."
2ahgvr,colrave crue,118.0,225.0,107.0,1.5057841383422779,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows raw kohlrabi ('colrave crue') cut into medium-sized slices and placed on a plastic tray. Kohlrabi is a dense vegetable with a high water content, and the slices appear to be of uniform thickness. Based on the volume of the slices and the size of the tray, the total weight of the kohlrabi is likely between 200-250 grams. Considering the density and the visible portion, I estimate the weight to be approximately 225 grams."
r3bub9,pain bis,35.0,130.0,95.0,0.396541443053071,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/b1cddb5b-7db0-4fb4-9340-d84cd4187243,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows two slices of pain bis (whole-grain bread) used to make a sandwich. The bread slices are of medium size, typical for Swiss whole-grain bread. Each slice appears to be about 60-70 grams based on its size and thickness. Since there are two slices, the total weight of the pain bis is approximately 120-140 grams. To account for slight variations, I estimate the weight of the pain bis to be 130 grams."
p8a2w5,pillons de poulet,112.0,200.0,88.0,1.175432319618366,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/bdb25c53-2eb7-4a81-b33e-6d28997d0183,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows several chicken drumsticks ('pillons de poulet') on the plate. There are five drumsticks visible, and they appear to be medium-sized, with some charring from cooking. Chicken drumsticks typically weigh around 35-50 grams each, depending on size and cooking method. Considering the visible size and the fact that some weight is lost during cooking, I estimate each drumstick to weigh approximately 40 grams. With five drumsticks, the total weight is approximately 200 grams."
wrah5h,pomme,95.0,180.0,85.0,0.9630292188431724,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a single red apple ('pomme') of medium size. Based on the visual appearance, the apple is round and appears to be of average density and size for a typical apple. Medium-sized apples generally weigh between 150-200 grams. Given the size and shape of this apple, I estimate its weight to be approximately 180 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,120.0,78.0,1.841860465116279,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step by step way to be sure we have the right answer. The sautéed vegetables (carrots and leeks) are located on the right side of the plate. They appear to be cooked and are mixed together, forming a dense pile. The portion size is moderate, covering a significant part of the plate but not overly voluminous. Cooked vegetables like these typically weigh more than they appear due to their water content. Based on the visible volume and density, I estimate the weight of the sautéed vegetables to be approximately 120 grams."
wrah5h,riz complet,82.0,160.0,78.0,0.7627906976744186,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ee492174-b956-48fe-a4cb-4f059c9bc233,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a plate with three distinct components: grilled salmon, brown rice ('riz complet'), and a salad of carrots and corn. The brown rice is located on the top left of the plate and appears to be a cooked portion. Based on the visible volume, the rice occupies a moderate area of the plate and is loosely packed. Cooked brown rice typically weighs around 150-180 grams per serving in Swiss portions. Given the portion size and the loose texture, I estimate the weight of the brown rice to be approximately 160 grams."
xjvrtk,courgette et oignons,300.0,225.0,75.0,2.6833631484794274,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The courgette et oignons (zucchini and onions) are visible on the left side of the container. The mixture appears to be cooked and occupies about half of the container. Cooked zucchini and onions are relatively light due to their high water content. Based on the volume and density, the weight of the courgette et oignons is likely around 200-250 grams. Considering the visible portion and typical cooked vegetable density, I estimate the weight to be approximately 225 grams."
