key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
2ahgvr,porridge,46.0,220,174.0,0.9462111360680932,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d,
xjvrtk,courgette et oignons,300.0,150,150.0,5.31977775150727,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,
p96w4a,délice tomate mozzarella,54.0,180,126.0,0.8043503960278993,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/5ebafbd6-315d-44a6-8508-ba143d23adb2,
xjvrtk,concombre,215.0,90,125.0,3.1770894904835085,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/611431d0-f119-4ef8-ad73-bb27c5075c3c,
xjvrtk,fraises,125.0,250,125.0,1.847145052606691,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/3d828624-e384-44e7-99f6-4c8a4e6f0ba4,
xjvrtk,ratatouille,275.0,180,95.0,3.0884265279583873,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/b53715cb-f3f5-4abf-bd1d-b7264f7f0a86,
2ahgvr,salade grecque,315.0,220,95.0,3.5376522047523347,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,
ppf8hc,salade de carottes,94.0,180,86.0,0.9556685187374394,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/9b6c62f6-4f81-4ec4-989f-ce06be0b6e9d,
ppf8hc,pâtes carbonara,236.0,320,84.0,2.343539425464003,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/4d4e6539-b86f-4019-b2aa-0c15dbce0667,
2ahgvr,humus maison,40.0,120,80.0,0.3782953067738503,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,
