key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
8japfq,"pizza champignons, olives, courgettes",183.0,450,267.0,5.79814880740477,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step by step way to be sure we have the right answer. From the image, we see a pizza divided into 5 visible slices, with one slice partially eaten (around half gone) and 4 others mostly intact. The pizza appears to be a standard small pizza on a normal sized plate (~26 cm diameter). Assuming this is a pizza around 26-28 cm in diameter, the typical whole pizza weight in Switzerland for a vegetable topped pizza is approximately 450-500 grams. We can count 5 visible pieces, which corresponds roughly to a full pizza cut into 6 slices with one slice missing or partially eaten, so nearly a whole pizza minus a small fraction. Since one slice is half gone, let's consider the total remaining pizza roughly 5.5 slices out of 6, equating to roughly 92% of the whole pizza. Applying 450-500g total weight gives us about 415-460g remaining. The pizza is topped generously with mushrooms, olives, and courgettes, which do not add significant extra weight beyond typical toppings. Hence, the estimate centers around 450g, acknowledging slight margin. Therefore, the best defensible estimate for the weight of the pizza slices present in the image is 450 grams."
xjvrtk,tomates cerises,500.0,240,260.0,15.426604960246825,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. The food item specified is 'tomates cerises' (cherry tomatoes). From the image, the cherry tomatoes are contained in a small cardboard punnet typical for Swiss retail packaging. The punnet appears to be about one standard 250 g size, judging by its dimensions relative to the visible book and the cloth pattern beneath. There are approximately 18-20 cherry tomatoes visible, arranged in a single layer with some on the vine. Typical Swiss cherry tomato weighs about 8-12 grams each. Given the tomatoes fill most of the punnet and look fresh and firmly packed, I estimate the total weight in the punnet close to the full 250 g retail weight. Cross-checking by counting units: around 18 tomatoes × about 10 g average = 180 g, which might be a slight undercount if some tomatoes are smaller or hidden underneath. The visual fullness and packaging size suggest closer to 230-250 g rather than just 180 g. Therefore, the more accurate estimate weighing fullness and container size is 240 g, reflecting a near-full 250 g punnet of cherry tomatoes."
xjvrtk,galettes millet haricots noirs maïs,155.0,330,175.0,3.218820458051501,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'galettes millet haricots noirs maïs', which are visible on the right side of the container as distinct round patties containing millet, black beans, and corn. They appear to be homemade or artisanal patties, approximately 6 pieces in the container. Each galette is roughly 6-7 cm diameter and about 1.5-2 cm thick. Considering the density of cooked millet combined with black beans and corn (which is fairly dense, similar to cooked legume patties), each galette is likely about 50-60 grams, given their size and visible compactness. 6 galettes together would therefore weigh approximately 300-360 grams. The patties fill about half the container volume on that side, and the container appears to be a typical glass food storage box of about 500-600 ml volume. This volume and visual fullness corroborates this weight estimate. Thus I estimate the total weight of the galettes millet haricots noirs maïs at around 330 grams, a reasonable mid-value between 300 and 360 grams."
xjvrtk,courgette et oignons,300.0,180,120.0,4.271982912068352,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'courgette et oignons' (zucchini and onions). Visually, this food occupies roughly half the container on the left side. The container looks like a standard glass lunch container approximately 15 cm by 15 cm. The zucchini and onions are sliced and cooked, appearing soft and somewhat moist. The pile is about 2-3 cm deep in the container. Given the visible volume and considering the density of cooked vegetables (zucchini and onions are mostly water and have low density), the estimated density is around 0.6-0.7 g/cm³. The approximate volume is 15 cm x 7.5 cm (half the container width) x 2.5 cm depth = about 280 cm³. Multiplying volume and density, 280 cm³ × 0.65 g/cm³ ≈ 180 g. This is a reasonable portion for cooked vegetables in a lunch container and fits typical Swiss portion sizes. Therefore, the estimated weight is about 180 grams."
p96w4a,croissants au jambon,37.0,140,103.0,0.4522368577192358,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/7bd6e67d-b1ca-42e4-a5ca-713b7fadda27,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'croissants au jambon'. In the image, there are two small croissants visible on the plate. They appear to be filled with ham, indicating 'croissants au jambon'. These croissants look like standard mini butter croissants filled with ham. Typical Swiss filled ham mini croissants weigh approximately 60-90 grams each. These croissants appear to be on the smaller side rather than full-sized croissants, so I will assume around 70 grams per croissant. Since there are two croissants, the total weight estimation would be approximately 140 grams. This aligns well with typical portion sizes for such items and the visual size of the croissants relative to the plate and nearby items (like the carrot sticks and slices of baguette). Thus, a reasonable estimate for the total weight of both croissants au jambon is about 140 grams."
wrah5h,pâtes,148.0,250,102.0,1.7913848344606622,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/115dbd14-27ca-4200-a232-fa9f3eb9bad7,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'pâtes' (pasta). In the image, the pasta is the right half of the container, consisting of spiral fusilli type pasta with visible tomato-based sauce and a topping of grated parmesan. The container appears to be a standard metal lunch box approx. 20x13 cm. The pasta portion fits roughly half the container. The depth of the pasta is estimated to be about 2.5 cm, considering the container's depth and the visible food height. Pasta density when cooked is moderate to dense, similar to cooked fusilli which is about 140 g per 180 ml. The visible volume is about 20 cm × 6.5 cm × 2.5 cm = 325 cm³. Assuming 1 cm³ ≈ 1 ml, that's 325 ml. Using 140 g per 180 ml as a reference, weight is (325 ml / 180 ml) × 140 g ≈ 253 g. Cross-checking with other lunch portions and the overall size of the pasta pile, this seems reasonable. Therefore, the best estimate for the weight of the visible pasta portion is approximately 250 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,100,98.0,2.3025987896048417,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'légumes sautés (carottes, poireaux)'. Visually, the sautéed vegetables occupy about a quarter of the plate, with visible chunks and slices of carrots and leeks. The pieces are cooked and spread over a relatively flat area, not piled very high, but covering a moderate area. The typical density for sautéed vegetables is moderate and includes some moisture content but not overly dense. Considering the plate diameter (~26 cm) and the portion footprint, this looks like a modest serving. A typical cooked vegetable serving on a plate like this weighs around 80-120 grams for a similar visible volume. Given the moderate size and spread, I estimate around 100 grams for the portion of sautéed carrots and leeks. This fits within typical snack or meal cooked vegetable servings and aligns with visual observation without overestimation."
wrah5h,"salade de carotte, mais, tomates",133.0,43,90.0,1.420434318262727,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/a7f54de1-9b6e-4edf-8f1f-0df19f00ceb0,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'salade de carotte, mais, tomates', which is the carrot, corn, and tomato salad on the plate. Visually, the salad is placed on a standard-sized plate of about 26 cm diameter. The salad portion takes roughly a 6-7 cm diameter irregular area on the plate and appears loosely piled but somewhat dense with shredded carrot, corn kernels, and pieces of tomato mixed possibly with some dressing. The salad depth seems about 1.5 to 2 cm in most places. Given the density of shredded carrot and corn mixture—carrot being less dense but corn quite starchy—and the presence of dressing, the salad weight can be estimated by volume. Approximating the footprint as a roughly circular 6 cm diameter area (about 28 cm²), multiplied by an average thickness of around 1.5 cm, yields a volume around 42 cm³. Carrot salads weigh approximately around 0.8-1 g/cm³ due to moisture and corn density, so estimating near 40-45 g is reasonable. Cross-checking this with the visible amount against known portion sizes, this is a moderate salad serving, within typical Swiss portion norms. Therefore, 43 grams is a well-supported estimate."
wrah5h,tiramisu,72.0,150,78.0,0.6664293342826628,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/7b0475df-5b02-4072-abb9-ef75acf0f031,"Let's work this out in a step by step way to be sure we have the right answer. The image shows two pieces of dessert on a plate — one piece of tiramisu and one piece of forêt noir. The specified food item to estimate is tiramisu. The tiramisu portion appears as a typical slice, about 10 cm long, 4-5 cm wide, and roughly 4 cm high. This is a standard small serving size. Tiramisu tends to be dense with cream, mascarpone cheese, soaked sponge cake, etc., so it has moderate density, roughly similar to that of a small slice of layered cake. A standard serving of tiramisu in Swiss cafés or stores usually weighs between 120-180 g per slice of this size. Visually comparing the tiramisu piece thickness and density to forest noir slice on the same plate and considering general portion norms, the tiramisu appears to be somewhat lighter than a dense chocolate cake slice but still substantial. No container or packaging is visible, so direct volume and size estimation applies. Given these observations, a reasonable weight estimate is about 150 grams for this tiramisu piece, balancing the visible volume and typical density. This estimate fits well within Swiss typical ranges and looks plausible by comparison to the other dessert on the plate."
6fwmw2,fraises,146.0,70,76.0,1.3167200664530676,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/fc43899a-21ef-45e8-95b0-d10af04f9539,"Let's work this out in a step by step way to be sure we have the right answer. The image shows three strawberries (fraises) in a small bowl. The strawberries are large-sized compared to the bowl and each looks quite plump. Typical Swiss strawberries weigh between 15-25 g each. Given the size and visual fullness of each strawberry here, they appear on the upper end of typical weight. Estimating around 25 g for the largest strawberry and about 20 g each for the other two gives a total estimate around 65-70 g. Since the strawberries are quite sizeable but not overly large, a sensible estimate would be around 70 grams total for the three fraises in the bowl."
