key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
8japfq,"pizza champignons, olives, courgettes",183.0,450.0,267.0,5.79814880740477,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a pizza with toppings of mushrooms (champignons), olives, and zucchini (courgettes). There are five slices visible, and the pizza appears to be a medium-sized thin-crust pizza. Based on the size of the slices and the visible toppings, a medium pizza of this type typically weighs around 400-500 grams. Considering the thin crust and the moderate amount of toppings, I estimate the weight of the pizza to be approximately 450 grams."
r3bub9,tomate,50.0,250.0,200.0,1.1866619200189865,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,"Let's work this out in a step-by-step way to be sure we have the right answer. The tomatoes ('tomate') are located in the middle section of the container. They are cut into medium-sized wedges, and their volume occupies about one-third of the container. Based on the size of the container and the visible portion of the tomatoes, I estimate that there are approximately 2 medium-sized tomatoes present. A medium tomato typically weighs around 120-150 grams. Considering the visible size and density, I estimate the total weight of the tomatoes to be approximately 250 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,90.0,108.0,2.537557849768601,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step-by-step way to be sure we have the right answer. The sautéed vegetables (carottes, poireaux) are located on the right side of the plate. They are mixed together and appear to be cooked, which reduces their volume compared to raw vegetables. The portion is moderate, covering about a quarter of the plate. Based on the visible volume and typical density of cooked carrots and leeks, I estimate the weight to be in the range of 80-100 grams. Considering the portion size and the fact that the vegetables are cooked, I estimate the weight to be approximately 90 grams."
2ahgvr,colrave crue,118.0,225.0,107.0,1.4982793402159724,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows raw kohlrabi ('colrave crue') cut into small, wedge-like pieces and placed on a plastic tray. The pieces are of medium thickness and appear to be evenly cut. Based on the size of the tray and the visible volume of the kohlrabi pieces, the total weight is likely between 200 and 250 grams. Considering the density of raw kohlrabi and the visible portion, I estimate the weight to be approximately 225 grams."
xjvrtk,tomates cerises,500.0,400.0,100.0,5.933309600094933,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a cardboard container filled with cherry tomatoes ('tomates cerises') still attached to their vine. Cherry tomatoes typically weigh around 15-20 grams each. There are approximately 20-25 tomatoes visible in the container. Assuming an average weight of 18 grams per tomato, the total weight would be approximately 360-450 grams. Considering the density and the visible fullness of the container, I estimate the total weight of the cherry tomatoes to be 400 grams."
xjvrtk,myrtilles,200.0,100.0,100.0,2.373323840037973,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/4d153e2f-e2dc-478b-80de-472793d5b51e,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a small bowl filled with blueberries ('myrtilles'). The bowl is held in a hand, providing a scale reference. Blueberries are small and dense, with an average weight of about 1-2 grams per berry. The bowl appears to contain approximately 60-70 blueberries, based on their size and the visible volume. Assuming an average weight of 1.5 grams per berry, the total weight of the blueberries is estimated to be around 90-105 grams. Considering the density and the bowl's fullness, I estimate the weight of the blueberries to be approximately 100 grams."
xjvrtk,courgette et oignons,300.0,200.0,100.0,3.5599857600569598,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The courgette et oignons (zucchini and onions) are visible on the left side of the container. The mixture appears to be cooked and occupies roughly half of the container. Based on the size of the container and the visible volume of the courgette et oignons, I estimate the weight of this portion. Cooked zucchini and onions are relatively light due to their high water content. Given the volume and density, I estimate the weight of the courgette et oignons to be approximately 200 grams."
2ahgvr,salade grecque,315.0,225.0,90.0,3.364186543253827,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a container with a Greek salad ('salade grecque') consisting of diced vegetables (cucumber, tomato, bell peppers), olives, onion rings, and small pieces of feta cheese. The container is about half full. Based on the size of the container and the density of the salad, I estimate the volume of the salad to be approximately 250-300 ml. Considering the typical density of a Greek salad (which includes water-rich vegetables and cheese), the weight is likely around 200-250 grams. I will estimate the weight of the salad to be 225 grams."
p8a2w5,pillons de poulet,112.0,200.0,88.0,1.1695739883707132,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/bdb25c53-2eb7-4a81-b33e-6d28997d0183,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows several chicken drumsticks ('pillons de poulet') on the plate. There are five drumsticks visible, and they appear to be small to medium in size. Chicken drumsticks typically weigh around 35-50 grams each, depending on size and whether they are cooked. These drumsticks are cooked and seasoned, which reduces their weight slightly due to water loss. Estimating an average weight of 40 grams per drumstick, the total weight for five drumsticks would be approximately 200 grams. This estimation accounts for the visible size and the fact that they are cooked."
6fwmw2,fraises,146.0,60.0,86.0,1.4899727067758395,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/fc43899a-21ef-45e8-95b0-d10af04f9539,"Let's work this out in a step-by-step way to be sure we have the right answer. The image shows a small green bowl containing four strawberries ('fraises'). The strawberries are medium to large in size, with some being slightly larger than others. On average, a medium-sized strawberry weighs around 12-15 grams. Given the size of the strawberries in the bowl, I estimate their average weight to be approximately 15 grams each. With four strawberries visible, the total weight is approximately 60 grams. This estimation accounts for the size and density of the strawberries."
