key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
xjvrtk,tomates cerises,500.0,250.0,250.0,15.193873830071714,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a cardboard container filled with cherry tomatoes ('tomates cerises') still attached to their vine. The container appears to be full, and the tomatoes are small, round, and densely packed. Based on the size of the container and the density of the tomatoes, I estimate the total weight of the cherry tomatoes, including the vine, to be approximately 250 grams. This estimation considers the typical weight of cherry tomatoes and the visible volume in the container."
8japfq,"pizza champignons, olives, courgettes",183.0,320.0,137.0,3.0474048863498235,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a pizza with visible toppings of mushrooms (champignons), olives, and zucchini (courgettes). The pizza is cut into five slices, with some slices showing more toppings than others. The pizza appears to be a thin-crust style, which is less dense than thicker crusts. Based on the size of the slices and the visible toppings, I estimate the total weight of the pizza to be around 400-500 grams. Since the pizza is partially eaten, I estimate the remaining portion to be about 70% of the total pizza. This would make the remaining weight approximately 280-350 grams. Considering the toppings and crust, I estimate the weight of the pizza champignons, olives, courgettes to be 320 grams."
2ahgvr,colrave crue,118.0,250.0,132.0,1.8932782302175764,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plastic container filled with slices of raw kohlrabi ('colrave crue'). The slices are relatively thin and triangular in shape, and they are stacked loosely in the container. Based on the size of the container and the visible volume of the kohlrabi slices, I estimate the total weight of the kohlrabi. Kohlrabi is a dense vegetable, so the weight will be higher than it might appear. Considering the container's size and the density of the slices, I estimate the weight of the kohlrabi to be approximately 250 grams."
xjvrtk,myrtilles,200.0,100.0,100.0,2.4310198128114746,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/4d153e2f-e2dc-478b-80de-472793d5b51e,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small bowl filled with blueberries (myrtilles). The bowl is held in a hand, providing a clear size reference. The blueberries are densely packed, but there is still some visible space between them, indicating they are not overly compressed. Blueberries are relatively light, with an average weight of about 1-2 grams per berry. Based on the size of the bowl and the number of visible berries, I estimate there are approximately 60-70 blueberries in the bowl. Assuming an average weight of 1.5 grams per berry, the total weight of the blueberries is approximately 90-105 grams. To be precise, I estimate the weight to be 100 grams."
xjvrtk,courgette et oignons,300.0,200.0,100.0,3.6465297192172117,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'courgette et oignons,' which is visible on the left side of the container. The mixture appears to be cooked and consists of chopped courgettes and onions. The portion fills approximately half of the container, which is a standard glass meal prep box. Based on the visible volume and the density of cooked vegetables, I estimate the weight of the courgette and onions to be around 200 grams. This estimation considers the cooked state, which reduces the volume compared to raw vegetables."
wrah5h,pomme,95.0,180.0,85.0,0.9815242494226328,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a single red apple ('pomme') placed on a flat surface. The apple appears to be of medium size, with a smooth surface and a visible stem. Based on its size relative to the surface and typical density of apples, I estimate its weight to be approximately 180 grams. This estimation accounts for the apple's volume and density, as well as its visual appearance."
ppf8hc,carotte,182.0,100.0,82.0,1.8140269843199222,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/586e0d02-4ce2-4d7f-8ebb-a46598eb749c,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'carotte,' which is clearly visible on the left side of the plate. The carrots are sliced into thick, round pieces, and their bright orange color suggests they are cooked. Based on the size and number of slices, the portion appears to be from one medium-sized carrot. Cooked carrots are dense, and their weight is not significantly reduced during cooking. Considering the volume and density of the slices, I estimate the weight of the carrots to be approximately 100 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,120.0,78.0,1.8772334994530206,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'légumes sautés (carottes, poireaux)'. In the image, the vegetables are located on the right side of the plate. They consist of sautéed carrots and leeks, appearing to be cooked and mixed together. The portion is spread out but not piled high, and the vegetables are cut into small pieces. Considering the visible volume and the density of cooked vegetables, I estimate the weight of the vegetables to be approximately 120 grams."
p8a2w5,viande,44.0,120.0,76.0,0.4064665127020785,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9db1412f-0390-4151-9d81-2b27a4f9a0d9,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'viande,' which is visible on the plate as a cooked piece of meat. The meat appears to be a compact, dense portion, likely ground or minced and shaped into a patty or loaf. Based on its size relative to the other items on the plate (e.g., the potatoes and salad), the meat portion is approximately 8-10 cm long, 4-5 cm wide, and about 1.5-2 cm thick. Given its density and compactness, I estimate the weight of this portion of meat to be around 120 grams."
r3bub9,tomate,50.0,120.0,70.0,0.425428467242008,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,"Let's work this out in a step by step way to be sure we have the right answer. The tomatoes are located in the middle section of the container, cut into medium-sized pieces. They occupy approximately one-third of the container's surface area. Considering the depth of the container and the visible thickness of the tomato pieces, the volume of the tomatoes appears moderate. Tomatoes are relatively dense, so their weight is close to their volume. Based on the visual cues, I estimate the weight of the tomatoes to be around 120 grams."
