key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
p8a2w5,pillons de poulet,112.0,660.0,548.0,7.4449296458030085,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/bdb25c53-2eb7-4a81-b33e-6d28997d0183,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The image shows five chicken drumsticks (pillons de poulet) on the plate, which are grilled or roasted. Typically, one cooked chicken drumstick weighs around 90-110 grams depending on size. Given the size seen here, I would estimate about 95 grams each. Multiplying 95 grams by 5 gives 475 grams as an initial estimate. To counter the common underestimation errors, I increase this by about 40%, resulting in approximately 665 grams total. This higher estimate is plausible given the visible quantity and size of the drumsticks on the plate. Therefore, my final estimate for the weight of the pillons de poulet is about 660 grams."
xjvrtk,salade,30.0,370.0,340.0,1.2372634643377,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f490015b-1246-4f64-b1f7-b1f486e3fe67,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The salade is clearly visible on the left side of the plate, consisting mainly of leafy greens with sunflowers seeds sprinkled on top. The volume of the salad covers almost half of the plate, and the leafy structure suggests some air space but also some layering and density typical for fresh salad leaves. Swiss salad portion sizes typically range between 250-400 grams, and given the size and fullness on the plate, this salad appears to be a full serving rather than a small side portion. I estimate the initial visual volume to be at least 250 grams of salad leaves and seeds. Applying a 30-50% increase to avoid underestimation, I lean toward the upper end, estimating approximately 370 grams for the salad portion. This aligns well with typical Swiss salad servings and the visual evidence on the plate."
xjvrtk,"galettes millet, haricots noirs, maïs",200.0,460.0,260.0,6.307617661329452,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/59e31b5a-2c5c-48e7-b889-58ed408a3a0a,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The target food items are 'galettes millet, haricots noirs, maïs,' which appear together as four millet patties on the right side of the bowl. The patties are about 1 cm thick and roughly 7-8 cm in diameter each, visibly dense and cooked with black beans (haricots noirs) and corn (maïs) mixed in. Millet patties combined with beans and corn are relatively dense and filling. A single patty of this size typically weighs around 70-90 grams when considering ingredients and cooking losses. Four patties would therefore weigh approximately 280-360 grams initially. Given Swiss portion sizes and the emphasis on avoiding underestimation, I will increase the estimate by about 40%. This adjustment yields a weight closer to 400-500 grams for the four patties combined. Considering the visual fullness and size of the patties filling half the bowl, a final estimate of 460 grams is reasonable and aligned with the portion size calibration."
8japfq,épinards frais,52.0,300.0,248.0,1.564289180009704,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b233fd7c-865a-4287-818f-8d4fe868585e,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The fresh spinach (épinards frais) is clearly visible as a large base layer of a salad in a medium-sized square bowl. The leaves cover most of the bottom and some sides of the bowl, and the pile height suggests a decent volume, likely around 2-3 times the area of the visible leaves considering the leafy nature and layering of spinach. Typically, fresh spinach salads weigh about 250-400g per Swiss portion, given their volume and water content. This spinach appears fresh and well piled, so the estimated weight is toward the upper mid range. I estimate the spinach portion at about 300 grams, reflecting the ample volume and compensating for the usual underestimation."
r3bub9,salade verte,21.0,260.0,239.0,0.608806404657933,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/d936efff-6fc8-4d66-8681-db5d7fd4f9c4,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The salade verte (green salad) is located at the bottom right portion of the plate. It consists mainly of iceberg lettuce or similar, lightly dressed. The volume is moderate but the leaves are fairly large and layered, showing some depth. Green salads typically weigh between 250-400g per serving, but this portion is smaller than a full Swiss restaurant portion since it is only part of a mixed plate with other salads and meat. Visually, the portion looks about half to two-thirds of a standard serving volume. Estimating a typical serving at around 300g, this portion is around 150-200g. To counter underestimation, I increase it by about 40%, giving a final estimate near 210-280g. Therefore, a sensible final estimate leaning to the upper end is about 260 grams to reflect the volume and density of the visible portion and avoid underestimation."
p8a2w5,"salade (salade verte, carottes, avocat, 1cs huile d'olive, 1 cs vinaigre)",163.0,390.0,227.0,4.488233867054828,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/c68fefbc-cbb5-416b-9841-87bdfa83de36,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The salad consists of green leafy lettuce, visible carrot strips, and chunks of avocado. It appears to be a generous portion, filling almost half the plate, with volume reflective of a typical Swiss salad portion size. Considering that mixed salads typically weigh between 250-400 grams in Swiss portions, and this salad contains a mix of ingredients including higher-density avocado, I estimate the salad portion on this plate to be substantial. Taking into account the depth and volume that may not be fully visible, I would start with an estimate around 280 grams and then increase it by approximately 40% to offset underestimation. This leads to approximately 390 grams, which fits within the upper range for salads and aligns with the visual quantity seen on the plate."
xjvrtk,galettes millet haricots noirs maïs,200.0,420.0,220.0,5.337214944201844,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/32289b41-a85a-4563-8e38-c47e7693d2d0,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The galettes made from millet, black beans, and corn are clearly visible on the right half of the plate. There are three fairly thick patties, each roughly about the size of a typical palm, suggesting a substantial portion. The texture and density of these galettes would be similar to grain and legume patties, which are moderately dense. Given Swiss portion size calibration for legume and grain combinations, an individual galette could weigh about 90-120 grams. For three galettes, that would amount to 270-360 grams initially. To counter the tendency toward underestimation, I increase this estimate by about 40%, which brings the total to approximately 378-504 grams. Considering the visual form and the filling density shown, I select an upper-middle value in that range for prudence and accuracy. Thus, the estimated weight of the 'galettes millet haricots noirs maïs' in the image is about 420 grams."
wrah5h,pâtes,148.0,350.0,202.0,3.626394953905871,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/115dbd14-27ca-4200-a232-fa9f3eb9bad7,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The image shows a metal container with three main food items: grilled chicken strips, green beans (haricots verts), and fusilli pasta topped with grated Parmesan. The pasta occupies about half of the container. It is clearly cooked and has some tomato sauce, making it denser than plain dry pasta. A typical Swiss cooked pasta portion is around 180-250 grams. Visually, the amount here is on the substantial side, filling about half of the container in height and surface area. Taking into account the depth of the container and the volume occupied, the pasta weight is likely near the upper range or slightly higher. To avoid underestimation, I lean towards 250 grams and up by 30-50%. After adding 40% to compensate for systematic underestimation and possible hidden volume beneath the surface, I estimate the pasta weight to be approximately 350 grams. This estimate fits well with the portion size visible and the general guidelines for Swiss cooked pasta servings."
ppf8hc,salade de pâtes,73.0,260.0,187.0,1.655870936438622,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/7e81c5ce-4e03-49fb-93d4-0aca33571c65,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The salade de pâtes is visible in the lower left quadrant of the plate, consisting of spiral pasta mixed with small pieces of vegetables such as corn, celery, and tomato. The portion covers a reasonable area of the plate and appears to be a moderately dense serving. Considering typical Swiss portion sizes for cooked pasta salads, a normal serving would weigh between 180-250 grams. Considering the visible amount and adjusting upwards by about 40% to counter typical underestimation, the plausible range would be around 230-270 grams. The pasta salad looks well portioned and fills about a quarter of the plate surface, so an estimate leaning toward the higher end of this range is appropriate. Therefore, I estimate the weight of the salade de pâtes to be approximately 260 grams."
wrah5h,"salade de carotte, mais, tomates",133.0,310.0,177.0,2.8555312954876273,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/a7f54de1-9b6e-4edf-8f1f-0df19f00ceb0,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The salade de carotte, mais, tomates appears to be a mixed salad with shredded carrots, sweet corn kernels, halved cherry tomatoes, and leafy greens. The portion is served on a plate next to two pizza slices, giving a reference for volume. The salad covers a decent area and has a visible depth, suggesting a substantial portion rather than a small side. Considering that mixed salads in Swiss portions often range from 250-400g, and that this salad includes vegetables and moist ingredients which add weight, I estimate the salad portion to weigh between 250 and 320 grams. To counter underestimation, I lean towards the upper end of this range, concluding an estimated weight of about 310 grams for the salade de carotte, mais, tomates portion on this plate."
r3bub9,tomate,50.0,210.0,160.0,0.970402717127608,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The tomatoes are sliced and occupy roughly one-third of the container's surface area, but the container is shallow and of a typical lunchbox size. Considering the visible volume of tomato slices and accounting for about 40-50% more volume that might not be fully visible, the portion is substantial. Swiss tomato portions in meals are often larger than expected and typically weigh between 150-250 grams for such servings. Given the volume, slice thickness, and surface coverage in the container, a plausible range is 150-220 grams. To counter underestimation, I choose a value toward the upper end, estimating the tomatoes at 210 grams."
p96w4a,asperges,73.0,230.0,157.0,1.3902231926249393,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/0513b8db-8592-4ef7-aacf-c117d4030b25,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The plate shows a bundle of cooked green asparagus spears, approximately 8-9 pieces, arranged closely together. Each spear appears medium-sized and cooked, with an estimated length of around 12-15 cm. Considering Swiss portion sizes for cooked vegetables range from 200 to 300 grams, and given that asparagus is dense but also slender, the whole portion shown is likely on the lighter side of cooked vegetable portions. A typical asparagus spear weighs about 15-20 grams when cooked. Multiplying by 8-9 spears gives around 140-180 grams. Given the visible volume and that often cooked asparagus portions are weighed heavier than they appear, I will increase the estimate by around 40% to account for underestimation and for any partly hidden spears. This leads to an adjusted estimate range of about 200-250 grams. I will choose a value leaning towards the upper end to counter the common underestimation error. Therefore, I estimate the asparagus portion to be approximately 230 grams."
p96w4a,croissants au jambon,37.0,190.0,153.0,0.6866812227074236,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/7bd6e67d-b1ca-42e4-a5ca-713b7fadda27,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The image shows two croissants au jambon placed side by side on the plate. These croissants are visibly well-baked and moderately sized, typical for Swiss servings. A single croissant au jambon generally weighs approximately 80-100g due to the pastry and the ham filling inside. Together, the two croissants likely sum to between 160g and 200g. Considering the tendency to underestimate and the need to adjust upward accordingly, I will increase the estimate by about 40%. Thus, a reasonable final estimate for the two croissants au jambon combined is about 190 grams."
p8a2w5,viande,44.0,195.0,151.0,0.8059194565744784,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9db1412f-0390-4151-9d81-2b27a4f9a0d9,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The piece of ""viande"" (meat) on the plate is medium sized and roughly rectangular, appearing to be a ground meat steak or portion. Compared to the potatoes next to it, which are small-to-medium sized, the meat portion is about the same length but slimmer. Given typical Swiss portion sizes for meat (120-180g) and considering the visible thickness and density of the cooked meat, a reasonable initial estimate would be around 140g. Because of common underestimation errors and the visible volume, I should increase that by about 40% to better align with Swiss portion norms and compensate for depth and density not perfectly visible in the image. That results in an adjusted estimate around 195g. This weight fits well with the size and thickness visible, and is consistent with the total plate context where potatoes and salad portions appear to match Swiss portion sizes."
xjvrtk,tomates cerises,500.0,650.0,150.0,9.097525473071325,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The image shows a cardboard container filled with cherry tomatoes ('tomates cerises'). There are approximately 20 cherry tomatoes visible, varying slightly in size but generally standard for this type. A typical cherry tomato weighs around 20-25 grams. Multiplying this by 20 gives an initial estimate of about 400-500 grams. Considering the container is quite full and the density of tomatoes, and correcting for underestimation by increasing about 40%, the estimated total weight should be closer to 560-700 grams. Taking a median conservative yet elevated value, I estimate the weight of the cherry tomatoes in this container to be approximately 650 grams."
6fwmw2,salade de céleri,49.0,195.0,146.0,0.8677826297913634,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1a96e805-fc15-4295-90a7-73a41fcb683f,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The salade de céleri is located at the bottom right of the plate, appearing as a small mound of shredded white celery root. While it looks like a moderate portion, salad portions in Switzerland tend to be larger than they visually appear due to volume and density considerations. The visible pile covers approximately a quarter of the plate area and has some depth. Typical vegetable salads weigh around 200-300g per serving. Given the size and volume and the presence of other components limiting the portion size on the plate, I estimate the visible portion of salade de céleri to be roughly between 150g and 200g. To counteract common underestimation, I lean towards the upper end of the range and adjust upward by about 40%. This results in a final estimated weight of approximately 195 grams for the salade de céleri."
xjvrtk,salade de tomates,417.0,275.0,142.0,7.182678311499272,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ce668b40-a61f-4ac1-abfd-a150071ddd76,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The image shows a plate full of sliced tomatoes generously sprinkled with flax seeds (graines de lin), some olive oil and balsamic vinegar visible as light and dark liquids enhancing the volume impression. The tomato slices are thick and cover the plate fully, arranged in overlapping layers, giving a substantial volume. Considering that raw tomatoes are mostly water but the portion here is large, the weight is definitely above the minimum expected for a single serving. Typical tomato salads can range from 150g to 250g depending on portion. Given the fullness of the plate and the layering effect, along with the added weight of the seeds and dressing, I estimate the tomato salad to be on the higher side, approximately 230 to 280 grams. To counter underestimation, I will lean towards the upper end, estimating about 275 grams for the salade de tomates."
xjvrtk,galette millet maïs haricots noirs,80.0,220.0,140.0,1.3585638039786512,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/54ee4857-524c-436a-a31b-a1013669f8c1,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The galette millet maïs haricots noirs are clearly visible in the middle section of the container. There are two small round patties, dense and compact, with visible black beans and millet grains. Given their size relative to the container and the texture, each galette likely weighs around 80-100 grams. Together, the two patties total approximately 160-200 grams. Considering the tendency to underestimate and the typical Swiss portion sizes for such food items, I increase the estimate by about 40%. This leads to a final estimated weight of about 220 grams for the combined two galettes."
m4egh2,pain,84.0,224.0,140.0,1.4264919941775838,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/e8255768-2401-491d-9b2f-35168137da3b,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The target food is 'pain' (bread), which is visible as three slices on the plate. Each slice appears to be of artisanal bread with a thick crust and soft crumb. Standard Swiss portion sizes for bread slices typically range from 40 to 70 grams per slice, especially for rustic bread slices that are quite thick as shown. Here we see three slices, with one smaller end piece that is about half the size of a regular slice. Estimating the two full slices at approximately 65 grams each, and the smaller slice at roughly half that (around 30 grams), the total weight adds up to approximately 160 grams. Considering the tendency to underestimate, I will increase the estimate by 40%, making the final estimate around 224 grams. This accounts for the volume and density observed, and fits well with typical bread serving sizes."
wrah5h,riz complet,82.0,220.0,138.0,1.3726346433770014,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ee492174-b956-48fe-a4cb-4f059c9bc233,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The 'riz complet' (wholegrain rice) is clearly visible on the plate in a moderate portion size. It occupies roughly one third of the plate area, shaped in a loose pile. Considering Swiss cooked rice portion typically ranges between 150-180 grams, and observing that this portion is close to a standard serving size, I start with an estimation of about 160 grams. To counteract the tendency to underestimate, I increase this estimate by about 40%, leading to a higher, more accurate estimate. Therefore, the rice portion likely weighs around 220 grams, which fits the visual volume and typical Swiss portion sizes for cooked rice."
wrah5h,tiramisu,72.0,210.0,138.0,1.205240174672489,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/7b0475df-5b02-4072-abb9-ef75acf0f031,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The tiramisu slice visible on the left side of the plate is a rather thick portion with layers of creamy mascarpone and soaked sponge. It measures roughly the size of a small to medium dessert slice and has a substantial volume, considering it has a thick cream topping and moist layers. A typical Swiss portion of tiramisu dessert ranges between 130-180 grams. Given the thickness and density, and that this slice appears quite full and substantial, I initially estimate around 150 grams. To counter the common underestimation, I will increase this by about 40%, resulting in a final estimate of around 210 grams for this serving of tiramisu."
p8a2w5,"légumes (courgette, oignon, 1 cs d'huile d'olive)",182.0,310.0,128.0,2.8258127122755945,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/18685cd7-995e-4bd3-92cc-bbff2c7bcb42,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The plate shows a visible portion of cooked vegetables consisting mostly of zucchini (courgette) and onions. The vegetables appear sautéed and piled in a portion roughly the size of half the plate's diameter. Considering the volume and how cooked vegetables are bulky but relatively dense, and Swiss portions for cooked vegetables typically range between 200-300g, I start with an estimate around 220g. Given the images and the usual serving size with oil cooking, the visible size and depth suggest at least 220g of vegetables. To avoid underestimation, I increase the initial estimate by about 40%, raising it to approximately 310g. This weight estimate fits with the visual perception of the pile of vegetables and typical Swiss portion sizes, ensuring it is not underestimated."
wrah5h,pâtes,123.0,250.0,127.0,1.8948326055312954,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1550c506-8c95-461f-b658-8f427dc2a0af,"Let's work this out in a step by step way to be sure we have the right answer. Based on the error patterns observed, I need to be careful not to underestimate. The target food item is 'pâtes' (pasta), which is clearly visible on the plate as a substantial portion of cooked spiral pasta, taking up almost half of the plate's visible surface. Cooked pasta usually weighs between 180-250 grams per Swiss portion. Visually, the pasta looks like a full serving and is piled rather densely, which can represent a denser weight than expected by volume. To avoid underestimation and considering the Swiss portion size guidelines, I estimate the pasta portion here to be at the upper end of the typical range. Applying a cautious upward adjustment of about 40% compared to a moderate estimate of around 180 grams, I arrive at approximately 250 grams. This makes sense given the visual size of the pasta in relation to the fork and other food items on the plate. Therefore, 250 grams is a plausible and supported estimate for the pasta portion shown."
