key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
ppf8hc,thé,276.0,2,274.0,10.065752695328097,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb
ppf8hc,thé,470.0,250,220.0,13.762811127379209,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/66b9acee-e336-4260-8e14-75bfd6bd7ead
xjvrtk,aubergine au four,257.0,120,137.0,4.686410222281379,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/02911570-1e99-4b2c-9ad0-469321a8a342
p8a2w5,lait dans le café,177.0,50,127.0,2.9920138426727005,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/03210130-04f7-45e1-babd-2c0693093101
wrah5h,pizza aux épinards,149.0,250,101.0,2.003061360308798,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/bd7799bb-241d-4652-8129-fbaf9bb88d41
p96w4a,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner",157.0,250,93.0,1.9434313855982963,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/2560a081-c1dd-48cf-aa05-a02ed674827f
m4egh2,bière grimbergen rouge,249.0,330,81.0,2.684546785571676,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/444413a1-c868-455d-8634-7cce2244e9be
2ahgvr,humus maison,40.0,120,80.0,0.42592839078929856,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a
wrah5h,poire,175.0,250,75.0,1.7469719153467322,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/8487ef93-2680-471e-986f-692657cd360f
6fwmw2,thon,150.0,80,70.0,1.3975775322773858,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628
xjvrtk,ananas,120.0,50,70.0,1.1180620258219087,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f0284a02-724e-4310-940d-e0fdd9893c70
6fwmw2,mélange de légumes,146.0,80,66.0,1.2825768667642752,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1ddcaacb-fd1a-4ee3-a08b-a3721350d9a9
8japfq,café,60.0,120,60.0,0.4791694396379609,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/86ceb725-f8aa-4f49-a72d-d44fb229ea99
p8a2w5,sauce bolognese,136.0,80,56.0,1.0137095700785306,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/abad1443-f704-4eb9-9657-7a67252ff801
xjvrtk,oignon frais,80.0,30,50.0,0.5324104884866232,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/59e31b5a-2c5c-48e7-b889-58ed408a3a0a
r3bub9,croissant au jambon,70.0,120,50.0,0.4658591774257953,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/ef5d035f-6fc5-4951-aa67-72239a7b5bdf
xjvrtk,tarte flambée pomme rhubarbe,250.0,200,50.0,1.6637827765206974,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f607625b-a07d-423e-a564-4d96ebadf084
ppf8hc,brocolis,139.0,90,49.0,0.9065619592705977,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/5dfa5302-a2e6-4c74-94fd-8e014ec012bc
xjvrtk,café au lait,298.0,250,48.0,1.9038999068281646,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/da3473b4-282c-4045-80b1-194b8fe5cbcb
6fwmw2,brocoli,122.0,80,42.0,0.6820178357513643,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/a2a7a39e-6053-4f38-806d-2bfed94b37c0
wrah5h,porridge,163.0,200,37.0,0.8027419140157062,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/2e7b02f3-969a-4269-bf8a-ee2710c121bc
p8a2w5,lait,114.0,150,36.0,0.5462531611872754,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4c05ee25-7f4e-4aba-8d89-4b7c5345b4b8
p8a2w5,légumes (oignon en botte et champignon),84.0,50,34.0,0.38014108877944897,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/afe7f5f8-85f4-4bf3-beff-1442e7dfbbe7
p8a2w5,tomates,64.0,30,34.0,0.289631305736723,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/f868b1f6-81b3-484e-96bf-327209241f0e
wrah5h,porc,56.0,90,34.0,0.25342739251963264,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ceb176a9-3e1f-48fe-a4ac-1ab12637221f
p8a2w5,pillons de poulet,48.0,80,32.0,0.2044456275788633,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/a80cc37c-4f30-4827-84cd-91a2f89042c2
p8a2w5,lait d'avoine,90.0,120,30.0,0.35937707972847066,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ac28838e-2a46-49a2-98c8-d5c99aed7da4
p96w4a,mozarella,80.0,50,30.0,0.3194462930919739,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56
xjvrtk,tronc de brocolis cru,60.0,30,30.0,0.23958471981898044,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/bc9c353c-4fd3-41d7-b5ab-cc73e9587d47
6fwmw2,semoule,116.0,90,26.0,0.4014375083189139,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/a2a7a39e-6053-4f38-806d-2bfed94b37c0
8japfq,gâteau au chocolat,57.0,80,23.0,0.17449753760149075,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/2a854c3d-0ba9-4c3f-b22c-630cbe2d37cd
