key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
r3bub9,risotto aux asperges,305.0,85.0,220.0,2.911820864433258,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/207070c9-c6dd-4cf9-b0a7-5979b06babc3,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small portion of risotto aux asperges spread on a medium-sized rectangular plate. The risotto grains are creamy and a bit clumped together with visible pieces of asparagus. The portion is modest and does not fill the plate. Considering the plate size and typical volume per gram of cooked risotto, this portion looks to be rather small, likely less than a standard main dish portion (which is around 180-250g for pasta/rice dishes in Switzerland). Given the volume and density, I estimate the weight range to be about 70-100 grams. Assuming it's closer to a small side portion rather than a full meal serving, I choose a value near the mid-point, at 85 grams. This estimate accounts for the visible amount and density of the risotto on the plate, without overestimating the spread and thickness."
p96w4a,délice tomate mozzarella,54.0,270.0,216.0,0.5061621246311404,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/5ebafbd6-315d-44a6-8508-ba143d23adb2,"Let's work this out in a step by step way to be sure we have the right answer. The 'délice tomate mozzarella' is visually identified on the left side of the plate as alternating slices of fresh tomato and mozzarella cheese arranged neatly. The slices of tomato appear to be medium-sized, and there are roughly 6 tomato slices and 6 mozzarella slices stacked. Each tomato slice likely weighs around 15-20 grams given their size and thickness, while each mozzarella slice is denser and slightly heavier, around 25-30 grams each. Combining all slices, the tomato component would weigh approximately 100-120 grams and the mozzarella around 150-180 grams, totaling roughly 250-300 grams for the entire 'délice tomate mozzarella'. Considering some small overlaps and dressing (balsamic vinegar and herbs) which do not add weight, the overall portion is medium to large. The Swiss reference for a fruit/vegetable plus cheese dish does not apply exactly but the visual volume and density justify this weight. Therefore, I estimate the weight of the 'délice tomate mozzarella' to be approximately 270 grams."
xjvrtk,ananas,200.0,400.0,200.0,1.7358097552508245,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/b41068f9-5a0e-4c11-bf1b-7389d3917889,"Let's work this out in a step by step way to be sure we have the right answer. The image shows several pieces of fresh pineapple ('ananas') cut into medium-sized chunks arranged on a plate. The pieces are relatively thick and look juicy, with a visible firm texture typical of pineapple. Considering the size of each chunk and counting roughly 12 pieces, and knowing that an average chunk of pineapple weighs about 30-40 grams depending on thickness, the total pile likely weighs around 360-480 grams. The plate size and spacing support the interpretation of a moderately large portion, but not an entire pineapple. Based on this, I estimate the total weight of the pineapple pieces to be about 400 grams, which falls comfortably within the plausible range."
xjvrtk,tonic au gingembre,200.0,20.0,180.0,1.5622287797257421,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/c70f93c3-23cc-4817-bbe9-93091771b273,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small glass bottle labeled 'GINGER' which corresponds to the ginger tonic. The bottle is almost empty with just a small amount of liquid left visible at the bottom. Such glass bottles for tonic or ginger beer typically hold around 200-250 ml when full, which roughly converts to 200-250 grams given the density close to water. Given the bottle is nearly empty, I estimate the remaining liquid is about 1/10th of the bottle volume. This corresponds to roughly 20-25 grams of tonic left in the bottle. Since the prompt asked for the weight of the 'tonic au gingembre' as seen, this amount is approximately 20 grams."
xjvrtk,"légumes cuits: côtes de bette, betterave rouge, fenouil, carottes",336.0,160.0,176.0,2.566221142162819,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/bdb98a92-fcc8-4f1c-9acb-da9162427c7b,"Let's work this out in a step by step way to be sure we have the right answer. The target food item is the cooked vegetables: côtes de bette (chard stalks), red beetroot, fennel, and carrots. These are visually grouped on the left side of the plate. The portion occupies roughly one third of the plate and appears to be a mixed sauté or stew of these vegetables, chopped into bite-sized pieces. The vegetables are cooked and appear moist but not heavily sauced, and there is visible natural juice from the beetroot that slightly colors the plate. Considering the plate size (standard dinner plate about 25 cm diameter) and the volume of the vegetables, the portion is a moderate side dish. Swiss portion guidelines for cooked vegetables as a side range from 120-180g. Given the clustered pile and mix of dense vegetables like beetroot and chard stalks, this looks closer to a medium portion, but not particularly heaped. The portion does not cover the entire plate and is roughly estimated to have moderate thickness and volume. Taking into account the visible volume, density, and presence of denser roots like beetroot and carrots, I estimate the weight of the cooked vegetables mixture to be approximately 160 grams. This is within Swiss ranges, and plausible given the visible size and the comparison to a large slice of the omelette occupying the other half of the plate."
xjvrtk,tomates cerises,500.0,340.0,160.0,3.471619510501649,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a cardboard tray containing about 20 cherry tomatoes, some still attached to the vine. Each cherry tomato appears firm and of typical size, approximately 2.5 to 3 cm in diameter. Cherry tomatoes usually weigh between 15 and 20 grams each. Given the number visible and the density, I would estimate each at about 17 grams on average. Multiplying 20 tomatoes by 17 grams gives a total weight of approximately 340 grams. The portion looks full and fresh, consistent with a sold container rather than a small snack portion. This estimate also aligns well with typical retail packaging sizes seen in Swiss markets. Therefore, I estimate the weight of the ""tomates cerises"" in the image to be about 340 grams."
8japfq,fallafels,125.0,280.0,155.0,0.8407828501996181,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b233fd7c-865a-4287-818f-8d4fe868585e,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a bowl containing fresh spinach leaves, sprouted seeds, cherry tomatoes, and a cluster of eight falafels. The falafels are relatively uniform in size, each roughly spherical and about 3-4 cm in diameter. Falafels are dense and crispy fried balls typically weighing around 30-40 grams each. Given there are eight falafels visible, if each weighs around 35 grams on average, that would total approximately 280 grams. The portion looks like a full serving, with no pieces missing or partially visible, so this is a good estimate. Swiss portion sizes for falafels can vary, but this quantity fits a main or substantial side dish portion. Taking all visual and density factors into account, I estimate the total weight of the falafels to be approximately 280 grams."
2ahgvr,salade grecque,315.0,160.0,155.0,2.118772782503038,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a rectangular plastic container partially filled with diced vegetables, olives, onion rings, and small chunks of white cheese consistent with a Greek salad. The portion fills roughly half to two-thirds of the container's volume. Given the container size looks like a standard medium food storage container (about 1 liter capacity), and visual density of the diced vegetables, olives and feta cheese, this salad portion appears moderate in size—not a small snack, but not a large full meal serving either. Typical Greek salad portions weigh around 200-300g as a main dish, but this looks more like a side dish portion. Considering the diced nature and the oil-based salad dressing visible, which adds slight weight, and the density of feta cheese cubes, I estimate a weight range between 130g to 180g, aiming at a medium portion closer to 160g. This estimate respects Swiss portion size guidelines for dense mixed salads (200-300g main dish), adjusted since this is likely a side dish portion in a container. Overall, the weight estimation based on visible volume, density, and container size is approximately 160 grams."
p8a2w5,pillons de poulet,48.0,200.0,152.0,0.3166116993577504,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/a80cc37c-4f30-4827-84cd-91a2f89042c2,"Let's work this out in a step by step way to be sure we have the right answer. The image shows two grilled chicken drumsticks (pillons de poulet) on a plate alongside a small portion of tomato, mozzarella and cucumber salad, as well as a piece of white bread. The chicken drumsticks appear to be cooked, with some charring visible. Each drumstick typically weighs between 80 to 120 grams depending on size. These drumsticks look medium-sized but not very large. Given the thickness and the visible size relative to the bread piece, each drumstick is likely around 100 grams. Together, the two drumsticks would weigh approximately 200 grams. Considering typical Swiss portion sizes for meat (120-180g for a side dish), this looks like a medium to slightly larger portion, so 200 grams is a reasonable estimate. I estimate the total weight of the two chicken drumsticks to be about 200 grams."
xjvrtk,salade de tomates,417.0,265.0,152.0,2.7505641381704566,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ce668b40-a61f-4ac1-abfd-a150071ddd76,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plate containing a salade de tomates made of sliced tomatoes cut into wedges and sprinkled with flax seeds and some green herbs, with balsamic vinegar visible as a dressing. The plate is standard size, indicated by the nearby utensils as reference. The tomato pieces cover most of the plate surface, stacked with moderate thickness. Tomatoes are relatively dense but mostly water, so the weight corresponds to visible volume. Given the size and quantity of tomato wedges, this portion looks like a substantial single serving or a side salad. The flax seeds add minimal weight. Based on typical tomato wedges (about 15-20 wedges) each weighing roughly 15 grams, the total tomato weight is estimated to be between 230 and 300 grams. Considering the volume and distribution, I estimate the weight of the salade de tomates portion to be around 265 grams."
xjvrtk,côtes de bettes à la sauce tomate,300.0,165.0,135.0,1.7575073771914598,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/fb18c515-abdf-434a-a433-9969b1061d3c,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a bowl with cooked chard stems and leaves (côtes de bettes) in tomato sauce occupying the bottom portion of the bowl, with an omelette au persil resting on top. The chard is clearly visible with cooked, softened stems and leaves in a moderate amount of tomato sauce. Considering the volume and density, as well as the size of the bowl which looks like a typical small-medium soup bowl, the vegetables portion is visibly substantial but not large. Swiss reference portion for cooked vegetables as a side dish ranges between 120 and 180g. Given the considerable volume and the density of the cooked greens and tomato sauce, but that this is likely a side dish portion, the estimate should be in the upper half of this range. The greens and sauce combined appear to be approximately 150-180g. The portion does not overflow the bowl and looks moderately filled. Therefore, a reasonable estimate for the weight of the 'côtes de bettes à la sauce tomate' is about 165 grams."
xjvrtk,courgette et oignons,300.0,170.0,130.0,1.692414511369554,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a glass container divided into two portions: on the left, chunks of courgette and onions cooked together, and on the right, several millet, black beans, and corn patties. The courgette and onions are cut into medium-sized pieces and appear to be cooked and soft, with some visible moisture but not floating in a lot of liquid. The portion of courgette and onions occupies roughly half the container. Given the container size is roughly similar to a standard meal prep box (approximately 15x15 cm) and taking into account the volume and typical density of sauteed courgette and onions, I estimate this cooked vegetable mix to weigh between 150 and 200 grams. Considering the moderate fullness and visual density, a medium portion estimated at around 170 grams is reasonable. This aligns well with Swiss portion references for cooked vegetables (120-180g) and the visual evidence here is consistent with the higher end of that range due to the volume present visually."
6fwmw2,mélange de porc et légumes façon thaï,295.0,170.0,125.0,1.6001996181218539,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/ec6d03db-ac9d-4ca2-92e1-96ab989361cb,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a black bowl presenting a dish with rice noodles at the bottom and a mixture of pork and vegetables in a Thai style sauce layered on top. The pork and vegetable mixture consists of visible pieces of broccoli, carrots, bell peppers, mushrooms, and pork chunks in a creamy sauce. The portion in the bowl is medium-sized, filling about half to two-thirds of a standard-sized bowl. The density of the pork and vegetable mix appears moderate to high due to the sauce and compact nature of the pieces. Typically, a side dish of meat and vegetables weighs between 120-180g, but considering the volume visible, it looks closer to the higher end of this range. Given the mixture is spread relatively evenly and appears quite dense, I estimate the weight of the 'mélange de porc et légumes façon thaï' to be about 170 grams. This is consistent with the overall portion size, visual density, and the typical Swiss side dish portion."
2ahgvr,asperges,177.0,300.0,123.0,0.9447578545391425,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b24759a6-90ea-4f9e-a1ad-d52af234de62,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small plate with white asparagus (asperges) and a dollop of mayonnaise. The asparagus pieces are fairly thick and from visual observation, there are about 9 pieces varying in length from about 6 to 8 cm each. White asparagus is dense and heavy compared to green asparagus. Each piece likely weighs around 30-40 grams depending on thickness and length. Multiplying by 9 pieces, the total weight is probably between 270 and 360 grams. However, the portions look moderately sized and not all pieces are equally thick, so a reasonable estimate is near the middle of this range. Considering also the relatively small plate and the portion size, I estimate the weight of the white asparagus to be approximately 300 grams. This is consistent with a side dish portion of cooked vegetables (120-180g) but visually this serving is somewhat larger, making 300g plausible."
xjvrtk,soupe à la tomate,400.0,280.0,120.0,2.0829717063009894,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f87a2a81-9c85-454b-af47-38ed4c42554b,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a bowl filled with tomato soup containing visible large chunks of whole tomatoes in a liquid base, sprinkled with herbs. The bowl is a small to medium size, typically used for a single serving of soup. The volume of liquid plus the pieces of tomato give an impression of a portion about half to three-quarters full. Tomato soup, especially with visible chunks, is quite dense and moist. The chunks visible occupy a significant portion of the bowl's surface area, indicating a substantial solid component. Considering a typical bowl holds roughly 300-400g of soup, and this bowl is about 70-80% full with chunky tomato soup, it is reasonable to estimate the soup weight in the bowl around 250-320g. Given the density and volume shown, a good estimation is around 280 grams of soupe à la tomate."
2ahgvr,porridge salé,48.0,165.0,117.0,0.24370768963721576,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a35f3211-3b33-4826-97b8-3af69655dada,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small glass jar with a golden lid containing porridge salé. The jar appears to be a typical small portion jar, roughly around 200 ml in volume. The porridge fills about 80-85% of the jar's volume. Given the porridge's consistency and density, which is close to that of cooked oatmeal or a thick porridge, its density is approximately 1 g/ml or slightly less. Thus, the porridge's weight is about the volume it occupies. Estimating the jar volume at around 200 ml, and the porridge fill level at 160-170 ml, the weight should be around 160-170 grams. Considering the density and slight variations in porridge texture, estimating the weight at 165 grams is reasonable. This estimate is consistent with the visual evidence and typical portion sizes for this kind of dish served in small jars."
wrah5h,gaufre à la patate douce,85.0,200.0,115.0,0.42418850893942023,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1876b0b6-568d-4583-8186-073df252e6c9,"Let's work this out in a step by step way to be sure we have the right answer. The image shows four pieces of sweet potato waffles (gaufre à la patate douce) arranged on a plate. Each waffle piece is a segment of a typical waffle grid, roughly square-shaped and about 6-7 cm per side and about 1.5-2 cm thick. Sweet potato waffles are denser than regular waffles because of the sweet potato content. Given that these are cooked waffles, their moisture content reduces the weight slightly but they remain dense. Estimating each quarter-piece to weigh approximately 45-55 grams, the total waffle weight is around 180-220 grams. This aligns with the typical portion size of a main dish starch component, which ranges higher in density for sweet potato compared to regular wheat waffles. Based on visual appearance, the waffles are not overly thick but a solid portion, so I estimate the sweet potato waffles at about 200 grams total."
m4egh2,gnocchi au basilic,290.0,180.0,110.0,1.3843082798125326,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/3e5798b3-c7e0-4d8e-a593-5298c2102755,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a glass container with gnocchi au basilic mixed with some cooked cauliflower florets and topped with grated cheese. The gnocchi are medium-sized pieces, and I estimate about 15-18 gnocchi pieces visible. Typical cooked gnocchi weigh roughly 10-15 grams each, but these look like a standard portion with moderate coating of sauce and cheese. Considering the container size and visible amount, the gnocchi portion appears to be a medium serving. A range of 150 to 220 grams seems plausible. Given the gnocchi coverage in the container and the presence of cauliflower around, I estimate around 180 grams for the gnocchi portion, as the main mass in the container."
wrah5h,tofu à la mangue,80.0,190.0,110.0,0.3818781461551814,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/712f4686-2c54-47d3-a8f2-811e15f6e76b,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a rectangular metal container with a mix of various plant-based foods. The 'tofu à la mangue' is located on the bottom left side as several medium-sized yellowish cubed pieces, distinct from the other ingredients. Each cube is roughly 3-4 cm across, and there are about 7-8 visible pieces. Tofu is a dense food, and the mango marinade or seasoning might add slight moisture but not considerably change its density. Given the size and number of cubes, it looks like a medium portion. Typical tofu pieces size around 30-40g each when cubed like this, but considering these pieces are relatively small and in a seasoned form, I estimate each cube to be around 25-30g. Multiplying by about 7 pieces gives an internal range of 175-210g. Considering some pieces might be partially visible or underneath, I'll balance the estimate near the middle of this range. This portion appears to be a substantial side dish amount, consistent with Swiss servings. Therefore, I estimate the total weight of 'tofu à la mangue' in this container to be approximately 190 grams."
wrah5h,flocons d'avoine,40.0,145.0,105.0,0.1822600243013366,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c0fb0561-9aaf-42ef-b18e-2677b0c8f7d7,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a black bowl containing a mixture of oats soaked with chia seeds and some form of liquid (likely milk or yogurt) to produce a creamy porridge-like texture. The oats (flocons d'avoine) portion is the large creamy mass on the left side of the bowl, partially topped with peanut butter and surrounded by chocolate chips, raspberries, and blueberries. The volume of this oat mixture covers approximately half the surface of the bowl and is moderately thick, indicating a soaked oat portion with some hydration absorbed by the oats and chia seeds. Considering the density of soaked oats is less than dry oats but still substantial due to liquid content, and visually comparing to the size of the berries (average raspberry weighs ~4g) and chocolate chips, this looks like a medium portion of oats typically used for one serving of overnight oats or oatmeal. A typical dry oat serving is around 40-50g, but soaked oats with added volume from chia seeds and liquid usually weigh more. I estimate the total weight of the soaked oats portion (flocons d'avoine plus chia seeds and liquid absorbed) to be around 130-160 grams. Choosing a reasonable midpoint given the size and thickness, I estimate approximately 145 grams."
xjvrtk,tarte flambée pomme rhubarbe,250.0,145.0,105.0,1.1391251518833536,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f607625b-a07d-423e-a564-4d96ebadf084,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a single slice of tarte flambée with chopped rhubarb and apple pieces arranged on top. The size of the slice is roughly a quarter of a standard rectangular tarte flambée. The crust appears thin and crisp, typical for tarte flambée, and the toppings look moderately dense but not thick. Given the visible surface area and estimating the depth/thickness of the slice including the fruit topping and cream base, I estimate the weight to be around 130-160 grams. Tarte flambée slices are usually between 150-200 grams for a full slice, but this slice looks slightly thin and not overly dense. Therefore, a medium estimate of 145 grams is reasonable and consistent with the visible portion size and density."
p8a2w5,fraises avec sucre,169.0,65.0,104.0,0.7627148064572122,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/2552a096-42ab-4f6b-a34f-8f011d1ec91e,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a small white bowl filled with sliced strawberries covered with granulated sugar. The strawberry pieces are medium-sized, approximately 12 to 14 pieces are visible, which appear to be about one-quarter to one-third of a whole strawberry each. Considering the size of the bowl and the spoon for scale, the quantity looks like a modest single-serving portion. Strawberry pieces are dense but have some air inside them. A whole medium strawberry weighs around 15-20g, so about 4 pieces (one strawberry) would be approximately 15-20g. With about 12-14 pieces visible, this equates to roughly 3 to 4 whole strawberries. That suggests a total weight range between 45g to 80g. Considering some variability in size and that not all pieces are equal, a good estimate is about 65 grams. The sugar is not weighed as part of the strawberries. This estimation is consistent with a light fruit snack portion rather than a full fruit dessert serving."
m4egh2,panais,13.0,110.0,97.0,0.054721402534282246,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/c31013e3-9c81-4ba6-b85b-e3c45b062457,"Let's work this out in a step by step way to be sure we have the right answer. The dish is a mixed plate of roasted vegetables and feta, including pommes de terre, carottes, panais, aubergines, and racines rouges. The food item to estimate is 'panais'. Visually, the panais pieces are cut into chunks approximately 2-3 cm long and mixed with the other vegetables. The portion of panais seems to be about 5-7 chunks scattered throughout the pile. Each chunk of roasted parsnip typically weighs around 15-20g due to its dense, starchy nature. Multiplying by the number of pieces, the total weight of panais looks to be roughly in the range of 80 to 140 grams. Considering the moderate volume compared to the entire portion and the density of roasted parsnips, I estimate the weight to be about 110 grams. This fits within plausible serving size for a side vegetable component in Switzerland and matches the comparative portion sizes of the other vegetables on the plate."
ppf8hc,quinoa et boulgour au curry,236.0,145.0,91.0,0.9319562575941677,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/95e84def-c82b-4360-8390-f5153ff61064,"Let's work this out in a step by step way to be sure we have the right answer. The food item to estimate is ""quinoa et boulgour au curry."" The image shows a yellow bell pepper (poivrons jaune) stuffed with a well-packed mixture of quinoa and bulgur seasoned with curry. The bell pepper is halved, with one half stuffed and standing upright on the plate and two slices of pepper next to it. The stuffing is compact and slightly heaped above the pepper rim, indicating a decent volume. Given the size of the pepper, I estimate its capacity to be roughly 120-150 grams for the stuffing. Quinoa and bulgur cooked and mixed are moderately dense but contain air spaces due to the grain nature. Considering this and the tightly packed appearance, the weight of the quinoa and bulgur mixture appears closer to the higher end of that range. Comparing with typical side dish portion sizes for grains in Swiss meals (80-200g for rice/pasta equivalents), this looks like a proper small-to-medium portion serving. Therefore, estimating the stuffed quinoa and bulgur filling, I conclude a weight range of about 130-160 grams, with a final estimate around 145 grams as a balanced value between the size, volume, and density."
