key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
8japfq,"pizza champignons, olives, courgettes",183.0,320.0,137.0,3.0474048863498235,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a pizza with toppings of mushrooms (champignons), olives, and zucchini (courgettes). There are five slices visible, and the pizza appears to be a medium-sized thin-crust pizza. Based on the size of the slices and the visible toppings, the total pizza likely weighs around 400-500 grams. Since the pizza is partially eaten, I estimate the remaining portion to be about 70% of the total pizza. This would make the weight of the remaining pizza approximately 280-350 grams. Considering the density of the toppings and the thin crust, I estimate the weight of the remaining pizza to be 320 grams."
xjvrtk,tomates cerises,500.0,380.0,120.0,7.293059438434423,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a cardboard container filled with cherry tomatoes ('tomates cerises') still attached to their vine. Cherry tomatoes typically weigh around 15-20 grams each. In the container, there are approximately 20-25 cherry tomatoes visible. Assuming an average weight of 18 grams per tomato, the total weight can be estimated as 20 tomatoes × 18 grams = 360 grams. Adjusting slightly for the vine and any unseen tomatoes, the total weight is approximately 380 grams."
p8a2w5,pillons de poulet,112.0,225.0,113.0,1.538349337547101,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/bdb25c53-2eb7-4a81-b33e-6d28997d0183,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'pillons de poulet' (chicken drumsticks). In the image, there are five small chicken drumsticks visible on the plate. These drumsticks appear to be cooked and seasoned, with some charred areas indicating grilling or roasting. Based on their size, they are relatively small drumsticks, likely from a smaller chicken. A typical small drumstick weighs around 40-50 grams when cooked. Since there are five drumsticks, the total weight can be estimated as 5 x 45 grams = 225 grams. This accounts for the bone weight as well, as the drumsticks are whole."
xjvrtk,courgette et oignons,300.0,200.0,100.0,3.6465297192172117,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The courgette et oignons are located on the left side of the container. The mixture appears to be cooked and consists of chopped courgettes and onions. The portion fills approximately half of the container, which is a rectangular glass dish. Based on the visible volume and the density of cooked courgettes and onions, I estimate the weight of this portion to be around 200 grams. Cooked courgettes and onions are relatively light, but the portion size and the compactness of the mixture suggest this weight."
r3bub9,tomate,50.0,150.0,100.0,0.6077549532028687,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,"Let's work this out in a step by step way to be sure we have the right answer. The tomatoes are visible in the middle section of the container, cut into medium-sized chunks. They occupy approximately one-third of the container's surface area. Based on the size of the container and the visible volume of the tomatoes, I estimate that the portion corresponds to about 150 grams of fresh tomatoes. This estimation considers the density of tomatoes and their typical weight when cut into pieces of this size."
ppf8hc,carotte,182.0,90.0,92.0,2.035249787285766,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/586e0d02-4ce2-4d7f-8ebb-a46598eb749c,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'carotte,' which is clearly visible on the left side of the plate. The carrots are sliced into thick, round pieces, and their bright orange color suggests they are cooked. Based on the size of the slices and the number of pieces, the total volume of the carrots appears to be moderate. Cooked carrots are relatively dense, with an approximate weight of 80-100 grams per cup (240 ml). The portion on the plate seems to be slightly less than a cup, so I estimate the weight of the carrots to be around 90 grams."
wrah5h,pomme,95.0,180.0,85.0,0.9815242494226328,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a single red apple ('pomme') placed on a flat surface. Based on its size and shape, it appears to be a medium-sized apple. Medium apples typically weigh between 150 and 200 grams. Given the visual cues, such as the apple's roundness and the absence of any unusual size indicators, I estimate its weight to be approximately 180 grams."
2ahgvr,colrave crue,118.0,200.0,82.0,1.1761273854381913,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plastic container with raw kohlrabi ('colrave crue') cut into medium-sized slices. The slices are relatively thick and appear to be densely packed on the plate. Based on the size of the container and the volume of the kohlrabi slices, I estimate the total weight of the kohlrabi to be approximately 200 grams. This estimation considers the density of raw kohlrabi, which is relatively high compared to its volume."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,120.0,78.0,1.8772334994530206,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'légumes sautés (carottes, poireaux)'. In the image, the sautéed vegetables (carrots and leeks) are located on the right side of the plate. They appear to be cooked and mixed together, forming a compact portion. The vegetables are not spread out thinly, and their density is moderate, as they are cooked and slightly wilted. Based on the visible volume and typical density of cooked vegetables, I estimate the weight of this portion to be approximately 120 grams."
wrah5h,pâtes,123.0,200.0,77.0,1.1512094323568738,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1550c506-8c95-461f-b658-8f427dc2a0af,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'pâtes' (pasta). In the image, the pasta is clearly visible as a portion of cooked fusilli, occupying a significant section of the plate. Cooked pasta is dense and compact, and the portion appears to be approximately 1.5 to 2 cups in volume. Based on visual estimation and the density of cooked pasta, this portion likely weighs around 200 grams. This estimation accounts for the visible volume and typical weight of cooked pasta."
