key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
xjvrtk,tomates cerises,500.0,260.0,240.0,14.586118876868847,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,
xjvrtk,salade de tomates,417.0,230.0,187.0,9.478424699161298,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ce668b40-a61f-4ac1-abfd-a150071ddd76,
xjvrtk,courgette et oignons,300.0,120.0,180.0,6.563753494590981,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,
2ahgvr,salade grecque,315.0,180.0,135.0,5.168955876990397,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,
8japfq,"pizza champignons, olives, courgettes",183.0,300.0,117.0,2.602528260605324,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,
wrah5h,"légumes sautés (carottes, poireaux)",198.0,85.0,113.0,2.7195818645921963,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,
xjvrtk,myrtilles,200.0,95.0,105.0,2.5525708034520482,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/4d153e2f-e2dc-478b-80de-472793d5b51e,
ppf8hc,carotte,182.0,85.0,97.0,2.1458611887686883,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/586e0d02-4ce2-4d7f-8ebb-a46598eb749c,
p8a2w5,"légumes (courgette, oignon, 1 cs d'huile d'olive)",182.0,95.0,87.0,1.9246383858028442,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/18685cd7-995e-4bd3-92cc-bbff2c7bcb42,
ppf8hc,spaghetti,217.0,140.0,77.0,2.0309955026133464,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/7c7d7932-0ffe-47e1-83e9-2289044511e5,
p8a2w5,viande,44.0,110.0,66.0,0.3529840768202261,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9db1412f-0390-4151-9d81-2b27a4f9a0d9,
p96w4a,croissants au jambon,37.0,100.0,63.0,0.2833353591831773,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/7bd6e67d-b1ca-42e4-a5ca-713b7fadda27,
ppf8hc,poulet,98.0,160.0,62.0,0.738543819132126,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/9c8fc2f7-062d-4701-885c-184a8d501c5b,
xjvrtk,galettes millet haricots noirs maïs,200.0,140.0,60.0,1.4586118876868845,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/32289b41-a85a-4563-8e38-c47e7693d2d0,
m4egh2,oeufs brouillés,145.0,85.0,60.0,1.0574936185729913,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/9631ea21-d42e-4129-bd57-c4a1aa521e20,
wrah5h,riz complet,82.0,140.0,58.0,0.5780965114865686,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ee492174-b956-48fe-a4cb-4f059c9bc233,
2ahgvr,salade de pâtes,112.0,65.0,47.0,0.6398444147319801,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a1dcaa3e-bad0-4d16-a8e3-c6217544e407,
m4egh2,myrtilles,96.0,50.0,46.0,0.5367691746687735,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/9942fa79-be93-458e-b6a9-22fda9333ff4,
p8a2w5,sauce bolognese,136.0,90.0,46.0,0.7604229974474292,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/abad1443-f704-4eb9-9657-7a67252ff801,
wrah5h,pomme,95.0,140.0,45.0,0.5196304849884527,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,
wrah5h,tiramisu,72.0,115.0,43.0,0.37632186702321624,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/7b0475df-5b02-4072-abb9-ef75acf0f031,
p96w4a,pain,49.0,90.0,41.0,0.2441959401969126,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/b0979eb7-5126-4d9e-9058-64093ecde7e0,
p96w4a,pain,24.0,65.0,41.0,0.11960617479032454,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/e036b3f8-ccaa-47a4-af6e-0a6de159b9bc,
6fwmw2,fraises,146.0,110.0,36.0,0.6388720068068555,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/fc43899a-21ef-45e8-95b0-d10af04f9539,
m4egh2,pain,84.0,120.0,36.0,0.3675701956970949,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/e8255768-2401-491d-9b2f-35168137da3b,
r3bub9,tomate,50.0,85.0,35.0,0.212714233621004,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,
p96w4a,tarte à la rhubarbe,105.0,140.0,35.0,0.4466998906041084,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/e0c92380-fc15-4bbe-90fb-cc2936321050,
8japfq,pomme,213.0,180.0,33.0,0.8543819132125927,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/124b4ec0-4fda-4c14-aee4-e31ac6a94b5c,
p8a2w5,"salade (salade verte, carottes, avocat, 1cs huile d'olive, 1 cs vinaigre)",163.0,130.0,33.0,0.6538227786556461,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/c68fefbc-cbb5-416b-9841-87bdfa83de36,
r3bub9,pain bis,35.0,65.0,30.0,0.12762854017260242,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/b1cddb5b-7db0-4fb4-9340-d84cd4187243,
8japfq,chips vaya beans,63.0,35.0,28.0,0.21441594748997203,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b5ebde1f-ec96-4028-b545-b7a1679f39c5,
p8a2w5,pillons de poulet,112.0,140.0,28.0,0.38118390664883917,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/bdb25c53-2eb7-4a81-b33e-6d28997d0183,
xjvrtk,glace noisette,48.0,75.0,27.0,0.15753008387018355,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/76d985ce-8fcc-4832-b51f-25c40d637743,
wrah5h,poire,175.0,150.0,25.0,0.53178558405251,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/8487ef93-2680-471e-986f-692657cd360f,
p8a2w5,tarte aux fraises,164.0,140.0,24.0,0.47842469916129815,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/7b64b358-b611-4155-8e79-6f3ce5b4f11a,
r3bub9,raviolis a la courge,143.0,120.0,23.0,0.399781208216847,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/17c1535c-dc84-4dbb-9668-1d3f9a4a135d,
wrah5h,"salade de carotte, mais, tomates",133.0,110.0,23.0,0.371824480369515,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/a7f54de1-9b6e-4edf-8f1f-0df19f00ceb0,
8japfq,épinards frais,52.0,30.0,22.0,0.13905433329281633,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b233fd7c-865a-4287-818f-8d4fe868585e,
p96w4a,flocon d'avoines,13.0,35.0,22.0,0.03476358332320408,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/c0fc63a2-21db-448b-875a-c736a595bd0a,
p8a2w5,pizza,57.0,35.0,22.0,0.15242494226327943,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/eb0dd196-9c09-40d1-8e3d-e5f66c794af8,
p96w4a,oeuf,29.0,50.0,21.0,0.0740245533001094,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/4e021399-8a90-44fe-b06c-0955cd2280f7,
m4egh2,beurre,4.0,25.0,21.0,0.010210283213808192,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/1f732396-f9f9-451f-bb51-ade259131e78,
p96w4a,tartine mélasse + beurre,39.0,60.0,21.0,0.09955026133462988,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/c9db26cc-13d6-4355-97a6-2355ea46cf42,
p96w4a,tomme fleurette,14.0,35.0,21.0,0.03573599124832867,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/a11463a4-ab51-4b83-a55f-d4edfb527b13,
8japfq,branche de chocolat,25.0,45.0,20.0,0.06077549532028686,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/73d04325-9904-439c-a617-44a5061581a3,
wrah5h,pain/galette,90.0,110.0,20.0,0.2187917831530327,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/e3bda09e-e437-4ac8-bfbf-4f282e801bfc,
xjvrtk,galettes millet haricots noirs maïs,155.0,135.0,20.0,0.3768080709857785,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,
xjvrtk,épautre cuit,160.0,140.0,20.0,0.3889631700498359,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/02911570-1e99-4b2c-9ad0-469321a8a342,
r3bub9,salade verte,21.0,40.0,19.0,0.04849884526558892,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/d936efff-6fc8-4d66-8681-db5d7fd4f9c4,
wrah5h,gaufre,47.0,65.0,18.0,0.10283213808192537,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1c8bc1a8-fbe8-4520-b82e-b07adc59e499,
wrah5h,tomates,28.0,45.0,17.0,0.05785827154491309,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,
wrah5h,pâtes,123.0,140.0,17.0,0.25416312142943964,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1550c506-8c95-461f-b658-8f427dc2a0af,
6fwmw2,blevita,19.0,36.0,17.0,0.03926096997690531,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/9d7b61b8-02b0-4d63-838a-54edfe54552b,
p8a2w5,mayonnaise,28.0,45.0,17.0,0.05785827154491309,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/d767c564-a3e6-4306-b022-ea44636699d8,
ppf8hc,salade de pâtes,73.0,90.0,17.0,0.150844779384952,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/7e81c5ce-4e03-49fb-93d4-0aca33571c65,
p96w4a,demi croissant,14.0,30.0,16.0,0.027227421903488515,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/a7d36c03-057f-474b-9b76-5296d4f9faef,
p8a2w5,beurre,5.0,20.0,15.0,0.00911632429804303,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9e3bfdbf-2b6e-41be-93ee-6610250b8c4e,
xjvrtk,salade,30.0,45.0,15.0,0.05469794578825817,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f490015b-1246-4f64-b1f7-b1f486e3fe67,
xjvrtk,salade,15.0,30.0,15.0,0.027348972894129086,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/7e8fa753-bb2d-4ee9-983c-7c9ce95fe698,
8japfq,hummous,42.0,55.0,13.0,0.06636684088975325,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/0bd218b2-a4c6-4605-8737-2055d3040f25,
p96w4a,asperges,73.0,85.0,12.0,0.10647866780114258,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/0513b8db-8592-4ef7-aacf-c117d4030b25,
2ahgvr,crème de marrons,13.0,25.0,12.0,0.0189619545399295,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/6b1cc73c-e22b-4132-970e-e37910b8b407,
p96w4a,beurre,3.0,15.0,12.0,0.004375835663060654,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/a11463a4-ab51-4b83-a55f-d4edfb527b13,
wrah5h,pain,51.0,40.0,11.0,0.06819010574936185,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/69327bb9-2361-4486-bea2-300691e60d0a,
8japfq,branche de chocolat,28.0,18.0,10.0,0.03403427737936064,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/327c0351-f7ed-43fe-8043-0687d8b0e848,
ppf8hc,maréchal,15.0,25.0,10.0,0.01823264859608606,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2d798449-e3c7-4b6e-9f74-d788f51b5ce7,
p96w4a,pain,38.0,28.0,10.0,0.046189376443418015,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/1205e577-5f14-45a2-9590-646d80ba6107,
p96w4a,salami,15.0,25.0,10.0,0.01823264859608606,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/ea5f58cc-2c17-4ecc-ad47-54141658e911,
m4egh2,oeufs,90.0,100.0,10.0,0.10939589157651634,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/7e7c07da-f8a5-4c6a-96b0-28284727895f,
p96w4a,beurre,5.0,15.0,10.0,0.006077549532028686,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/b0979eb7-5126-4d9e-9058-64093ecde7e0,
xjvrtk,galette millet maïs haricots noirs,80.0,90.0,10.0,0.09724079251245897,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/54ee4857-524c-436a-a31b-a1013669f8c1,
8japfq,pousses de graines,29.0,20.0,9.0,0.03172480855718974,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b233fd7c-865a-4287-818f-8d4fe868585e,
wrah5h,framboises,39.0,30.0,9.0,0.04266439771484137,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c73a766e-70bf-435f-b53a-6b981cf634e3,
2ahgvr,graine de chia,6.0,15.0,9.0,0.006563753494590981,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cca1db77-eb8e-454d-8ea2-e23840f01b97,
wrah5h,pâtes,148.0,140.0,8.0,0.14391637291843928,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/115dbd14-27ca-4200-a232-fa9f3eb9bad7,
wrah5h,sauce vinaigrette,28.0,20.0,8.0,0.027227421903488515,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/712f4686-2c54-47d3-a8f2-811e15f6e76b,
2ahgvr,colrave crue,118.0,110.0,8.0,0.1147441351647016,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,
m4egh2,carottes,38.0,30.0,8.0,0.03695150115473441,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/768d6aed-623c-4cfb-8f4e-e33da1f18a76,
m4egh2,biscuit,8.0,15.0,7.0,0.006806855475872129,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/5350f0cd-e92a-44fc-9770-13b4bcca327e,
8japfq,yaourt nature,118.0,125.0,7.0,0.1004011182691139,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/885c0212-0193-4a37-b6a9-a1dab36f03c5,
r3bub9,poivron,43.0,50.0,7.0,0.03658684818281269,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/6f0647af-ce31-45ac-abc9-d335ba8bcd5e,
p96w4a,beurre,5.0,10.0,5.0,0.003038774766014343,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/9c8dd558-21eb-4150-a872-af92749663ff,
2ahgvr,toast,55.0,50.0,5.0,0.033426522426157776,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,
xjvrtk,séré maigre,145.0,150.0,5.0,0.08812446821441594,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/6d7c5913-406a-449c-a95d-dae1cff11f27,
8japfq,muesli nature,64.0,60.0,4.0,0.031117053603986873,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/c79855ed-5948-4858-9b6d-264b75558907,
xjvrtk,œuf dur,50.0,54.0,4.0,0.024310198128114743,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/b53715cb-f3f5-4abf-bd1d-b7264f7f0a86,
wrah5h,mozzarella,54.0,50.0,4.0,0.026255013978363925,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/1550c506-8c95-461f-b658-8f427dc2a0af,
2ahgvr,graines de chia,8.0,12.0,4.0,0.003889631700498359,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,
6fwmw2,salade de céleri,49.0,45.0,4.0,0.023823994165552448,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1a96e805-fc15-4295-90a7-73a41fcb683f,
wrah5h,myrtilles,30.0,27.0,3.0,0.010939589157651634,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/a92ea4e8-63d4-40a4-86b7-b9274976c627,
p96w4a,beurre,3.0,6.0,3.0,0.0010939589157651635,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/1be5e2de-f1fe-4789-baf2-13f24ce8ca0a,
wrah5h,pain,47.0,45.0,2.0,0.01142579312021393,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c4d2e0f7-71f7-4e23-bc37-43a0aff738da,
p96w4a,mélasse,6.0,8.0,2.0,0.0014586118876868846,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/b0979eb7-5126-4d9e-9058-64093ecde7e0,
wrah5h,avocat,39.0,40.0,1.0,0.004740488634982375,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,
ppf8hc,parmesan,14.0,15.0,1.0,0.0017017138689680322,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2833b10a-52c7-409b-ad86-f6147c323f9e,
xjvrtk,huile de lin,8.0,7.0,1.0,0.0009724079251245898,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/d15f25db-272a-4f8a-a0ae-225438cf4b70,
p8a2w5,barre de chocolat kinder,21.0,21.5,0.5,0.001276285401726024,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/0845ef8b-a437-4236-a4f5-49280aac5c51,
p8a2w5,barre de chocolat kinder,21.0,21.5,0.5,0.001276285401726024,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/0845ef8b-a437-4236-a4f5-49280aac5c51,
p8a2w5,barre de chocolat kinder,21.0,21.5,0.5,0.001276285401726024,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/0845ef8b-a437-4236-a4f5-49280aac5c51,
