key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
xjvrtk,tomates cerises,500.0,280,220.0,13.37060897046311,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a cardboard container filled with cherry tomatoes ('tomates cerises') still attached to their vine. Cherry tomatoes typically weigh around 10-15 grams each. There are approximately 20-25 cherry tomatoes visible in the container. Assuming an average weight of 12 grams per tomato, the total weight would be approximately 240-300 grams. Given the density and arrangement of the tomatoes, I estimate the total weight to be around 280 grams."
xjvrtk,courgette et oignons,300.0,150,150.0,5.469794578825818,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The courgette and onions are located on the left side of the container. They appear to be cooked and chopped into small pieces. The portion fills about half of the container, which is a rectangular glass dish. Cooked courgette and onions are not very dense, so their weight will be less than their volume might suggest. Based on the visible portion size and typical density of cooked courgette and onions, I estimate the weight to be approximately 150 grams."
8japfq,"pizza champignons, olives, courgettes",183.0,320,137.0,3.0474048863498235,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a pizza with toppings of champignons (mushrooms), olives, and courgettes (zucchini). There are five slices visible on the plate, and the pizza appears to be a thin-crust type. Based on the size of the slices and the visible toppings, the total pizza likely weighs around 400-500 grams. Since the pizza is not whole, and approximately 70% of the pizza is visible, I estimate the weight of the visible portion to be around 300-350 grams. Considering the density of the toppings and the thin crust, I estimate the weight of the pizza in the image to be 320 grams."
2ahgvr,colrave crue,118.0,250,132.0,1.8932782302175764,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a plastic container with slices of raw kohlrabi (colrave crue). The slices are relatively thin and appear to be evenly cut. Based on the size of the container and the volume of the slices, the total portion seems to fill the container without being overly dense. Kohlrabi is a relatively dense vegetable, so the weight will be higher than it appears. Considering the size and thickness of the slices, I estimate the total weight of the kohlrabi slices to be approximately 250 grams."
ppf8hc,carotte,182.0,70,112.0,2.477695393217455,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/586e0d02-4ce2-4d7f-8ebb-a46598eb749c,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'carotte,' which is visible on the left side of the plate. The carrots are sliced into thick rounds, and the portion appears to be a moderate serving. Based on the size and number of slices, this looks like approximately 1 medium carrot, which typically weighs around 60-80 grams when cooked. Considering the density and the visible portion, I estimate the weight of the carrots to be 70 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,100,98.0,2.3585754223896926,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'légumes sautés (carottes, poireaux)'. In the image, the sautéed vegetables are located on the right side of the plate. They consist of visible pieces of carrots and leeks, cooked and mixed together. The portion appears to be a moderate serving, spread out but not piled high. Considering the density of cooked vegetables and the visible volume, I estimate the weight of the sautéed vegetables to be approximately 100 grams."
wrah5h,pomme,95.0,180,85.0,0.9815242494226328,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a single apple (pomme) that appears to be of medium size. Based on its visual appearance, it is likely a common variety such as Gala or Fuji, which typically weigh between 150 and 200 grams. The apple is whole, with no visible cuts or missing parts, and its size relative to the surface suggests it is closer to the lower end of the medium range. Considering these factors, I estimate the weight of this apple to be approximately 180 grams."
r3bub9,tomate,50.0,130,80.0,0.48620396256229487,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/bb18e23e-6449-46ba-a82b-2f630af251aa,"Let's work this out in a step by step way to be sure we have the right answer. The tomatoes are cut into medium-sized chunks and occupy about one-third of the container. Based on the size of the container and the visible volume of the tomatoes, I estimate that the portion corresponds to approximately one medium tomato. A medium tomato typically weighs around 120-150 grams. Considering the density and the visible portion, I estimate the weight of the tomatoes to be 130 grams."
wrah5h,avocat,39.0,110,71.0,0.33657469308374866,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'avocat' (avocado). In the image, there are two slices of avocado visible, each approximately 1/4 of an avocado. Avocados are dense and creamy, and a typical medium avocado weighs around 200-250 grams. Each quarter slice would weigh approximately 50-60 grams. Since there are two slices, the total weight of the avocado in the image is approximately 100-120 grams. Based on the visual portion, I estimate the weight to be 110 grams."
xjvrtk,galettes millet haricots noirs maïs,155.0,225,70.0,1.318828248450225,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'galettes millet haricots noirs maïs,' which are visible on the right side of the container. There are five patties, and they appear to be medium-sized, compact, and dense, containing millet, black beans, and corn. Based on their size and density, each patty likely weighs around 40-50 grams. Multiplying this by five, the total weight of the patties is approximately 200-250 grams. To remain precise and conservative, I estimate the total weight to be 225 grams."
