key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
8japfq,"pizza champignons, olives, courgettes",183.0,450.0,267.0,5.9593852908891325,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/9ac9736b-e0d1-4862-9981-1f47f8109d18,"The image shows a pizza with visible toppings of mushrooms (champignons), olives, and zucchini (courgettes). The pizza is cut into five slices, with four slices remaining on the plate. Based on the size of the slices and the visible toppings, I estimate the total weight of the pizza to be approximately 400-500 grams. Since the specified food item is 'pizza champignons, olives, courgettes,' I am estimating the weight of the entire visible portion of the pizza, which includes the crust, cheese, and toppings. Considering the density of the pizza and the portion visible, I estimate the weight to be 450 grams."
xjvrtk,tomates cerises,500.0,350.0,150.0,9.147457006952067,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912,"The image shows a cardboard container filled with cherry tomatoes, some still attached to the vine. Based on the size of the container and the density of the tomatoes, I estimate there are approximately 20-25 cherry tomatoes. Each cherry tomato typically weighs around 15 grams. Multiplying this by the number of tomatoes, the total weight is approximately 300-375 grams. Considering the visible fullness of the container, I estimate the weight to be around 350 grams."
wrah5h,tomates,28.0,130.0,102.0,0.3483351628247347,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,"The tomatoes in the image are sliced into small pieces and placed on the wrap. Based on their size and distribution, they appear to be equivalent to approximately one medium tomato. A medium tomato typically weighs around 120-150 grams. Considering the visible portion and the density of the slices, I estimate the weight of the tomatoes to be approximately 130 grams."
xjvrtk,courgette et oignons,300.0,200.0,100.0,3.658982802780827,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/8fb08d9a-4e44-4251-a0e4-26441252d211,"The courgette and onions are located on the left side of the container. They appear to be cooked and chopped into small pieces. Based on the visible volume, they occupy approximately half of the container. Considering the density of cooked courgette and onions, I estimate their weight to be around 200 grams."
wrah5h,"légumes sautés (carottes, poireaux)",198.0,100.0,98.0,2.366630076838639,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/5e117510-fc82-4a06-a502-12983d55aac5,"The sautéed vegetables (carrots and leeks) are located on the right side of the plate. They appear to be cooked and mixed together, with visible pieces of carrots and leeks. Based on the portion size relative to the plate and the density of the vegetables, I estimate the weight of the sautéed vegetables to be approximately 100 grams. This estimation considers the cooked state of the vegetables, which reduces their volume compared to raw vegetables."
ppf8hc,carotte,182.0,90.0,92.0,2.0422002683254057,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/586e0d02-4ce2-4d7f-8ebb-a46598eb749c,"The image shows several slices of cooked carrots on the plate. Based on their size and thickness, they appear to be medium-sized carrot slices, with a total volume that suggests approximately 1.5 medium carrots. A medium carrot typically weighs around 60-70 grams. Considering the visible portion, I estimate the total weight of the carrot slices to be around 90 grams."
wrah5h,pomme,95.0,180.0,85.0,0.9848762044151725,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/383669c9-0f7c-4be9-a917-ab76ffae8ab0,"The image shows a single red apple (pomme) of medium size. Based on its appearance, it is likely a common variety such as Gala or Fuji. Medium-sized apples typically weigh between 150-200 grams. Given the size and shape of the apple in the image, I estimate its weight to be approximately 180 grams."
2ahgvr,colrave crue,118.0,200.0,82.0,1.1801439199902428,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,"The image shows a plate of raw kohlrabi ('colrave crue') cut into small wedges. Based on the size of the plate and the visible volume of the kohlrabi pieces, I estimate the total weight. Kohlrabi is a dense vegetable, and the pieces appear to fill the plate moderately. Considering the density and the approximate volume, the weight is likely around 200 grams."
p8a2w5,viande,44.0,120.0,76.0,0.4078546164166362,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/9db1412f-0390-4151-9d81-2b27a4f9a0d9,"The specified food item, 'viande,' is visible on the plate as a cooked piece of meat. It appears to be a compact, dense portion, likely ground or minced meat, shaped into a patty or loaf. Based on its size relative to the other items on the plate (e.g., the potatoes and salad), the meat portion is approximately 8-10 cm long, 4-5 cm wide, and about 1.5-2 cm thick. Considering its density and the visual cues, I estimate the weight of the meat to be around 120 grams."
wrah5h,avocat,39.0,110.0,71.0,0.33772411269667035,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/19a2e7b0-7aad-44c5-b52a-d67294d4ef49,"The avocado (avocat) is visible as two slices placed on the wrap. Each slice appears to be about 1/4 of a medium avocado, making the total approximately 1/2 of an avocado. A medium avocado typically weighs around 200-250 grams, so half of it would weigh approximately 100-125 grams. Based on the visual size and thickness of the slices, I estimate the weight to be closer to 110 grams."
