key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
ppf8hc,thé,276.0,3,273.0,9.781643515513437,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb
xjvrtk,tonic au gingembre,200.0,400,200.0,5.192782032974166,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/c70f93c3-23cc-4817-bbe9-93091771b273
ppf8hc,thé,470.0,275,195.0,11.897961833052058,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/66b9acee-e336-4260-8e14-75bfd6bd7ead
p96w4a,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner",157.0,320,163.0,3.322212125146047,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/2560a081-c1dd-48cf-aa05-a02ed674827f
wrah5h,flocons d'avoine,40.0,180,140.0,0.7269894846163832,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c34091b7-c42f-4e93-ae39-bb28aa3b7819
xjvrtk,aubergine au four,257.0,120,137.0,4.5708165649746855,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/02911570-1e99-4b2c-9ad0-469321a8a342
xjvrtk,tarte flambée pomme rhubarbe,250.0,150,100.0,3.2454887706088535,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f607625b-a07d-423e-a564-4d96ebadf084
p8a2w5,lait dans café,231.0,320,89.0,2.668960145397897,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4a490097-e5f7-42a3-8928-9bdd835d4d17
m4egh2,bière grimbergen rouge,249.0,330,81.0,2.6183305205763987,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/444413a1-c868-455d-8634-7cce2244e9be
2ahgvr,humus maison,40.0,120,80.0,0.41542256263793326,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a
wrah5h,poire,175.0,250,75.0,1.703881604569648,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/8487ef93-2680-471e-986f-692657cd360f
p8a2w5,lait dans le café,177.0,250,73.0,1.67739841620148,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/03210130-04f7-45e1-babd-2c0693093101
wrah5h,porc,56.0,120,64.0,0.4652732701544853,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ceb176a9-3e1f-48fe-a4ac-1ab12637221f
8japfq,gâteau au chocolat,57.0,120,63.0,0.46618200701025575,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/2a854c3d-0ba9-4c3f-b22c-630cbe2d37cd
p8a2w5,lait d'avoine,90.0,150,60.0,0.7010255744515124,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ac28838e-2a46-49a2-98c8-d5c99aed7da4
p8a2w5,pillons de poulet,48.0,100,52.0,0.324029598857588,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/a80cc37c-4f30-4827-84cd-91a2f89042c2
r3bub9,croissant au jambon,70.0,120,50.0,0.4543684278852395,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/ef5d035f-6fc5-4951-aa67-72239a7b5bdf
xjvrtk,oignon frais,80.0,35,45.0,0.46735038296767495,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/59e31b5a-2c5c-48e7-b889-58ed408a3a0a
xjvrtk,ananas,120.0,80,40.0,0.6231338439568999,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f0284a02-724e-4310-940d-e0fdd9893c70
ppf8hc,filet de canard,80.0,120,40.0,0.41542256263793326,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/7e81c5ce-4e03-49fb-93d4-0aca33571c65
xjvrtk,sardine à la tomate,80.0,120,40.0,0.41542256263793326,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/12babb66-d6e5-4c11-afc5-25290865b2a5
xjvrtk,café au lait,298.0,260,38.0,1.4700765935349864,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/da3473b4-282c-4045-80b1-194b8fe5cbcb
6fwmw2,brocoli,122.0,85,37.0,0.5860054524211347,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/a2a7a39e-6053-4f38-806d-2bfed94b37c0
wrah5h,porridge,163.0,200,37.0,0.7829417110216799,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/2e7b02f3-969a-4269-bf8a-ee2710c121bc
