key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
p8a2w5,café au lait,653.0,250,403.0,1.5745860981636939,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ea4d3780-8834-4824-adc9-cdd0133a577d
wrah5h,velouté de champignons,691.0,300,391.0,1.6166015473077682,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/f298c84c-70c1-4dfb-bf55-e8647e33b230
r3bub9,biere,837.0,500,337.0,1.6877322307917837,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/d3adf4f9-04a3-4b20-a3db-7b812dbb20e6
ppf8hc,thé,276.0,2,274.0,0.45248879607967496,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb
xjvrtk,tomates cerises,500.0,250,250.0,0.7479252553416822,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ee053338-3341-4a7f-af2d-e3e7f67e466a
xjvrtk,thé vert menthe,500.0,250,250.0,0.7479252553416822,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5a2a11cf-9b59-46bd-88cc-f5b4fbc4b946
xjvrtk,tomates cerises,500.0,250,250.0,0.7479252553416822,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912
r3bub9,pâtes sauce tomates,110.0,350,240.0,0.15796181392816327,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/59e98269-25b1-4c0c-9165-523243a50528
p8a2w5,bière,329.0,100,229.0,0.4507954933015814,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/faa4e3cc-5d10-4bd7-a2ae-7eb4a3945897
p8a2w5,café froid,72.0,300,228.0,0.09822352793351244,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4a490097-e5f7-42a3-8928-9bdd835d4d17
ppf8hc,thé,470.0,250,220.0,0.6186837712186395,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/66b9acee-e336-4260-8e14-75bfd6bd7ead
8japfq,salade grecque,460.0,250,210.0,0.577996637328052,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/6900a2ca-84e1-4e77-93d3-c1286d205017
8japfq,thé,457.0,250,207.0,0.5660238498405423,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b0b63155-334f-4a68-958f-4195fa493daf
6fwmw2,eau chaude,451.0,250,201.0,0.5424013785758306,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/cb3496da-5eda-49b3-9a80-48141380eba3
xjvrtk,eau menthe citron,500.0,300,200.0,0.5983402042733458,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/bc9c353c-4fd3-41d7-b5ab-cc73e9587d47
p96w4a,cacao,2.0,200,198.0,0.002369427208922449,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/87ad5ad5-a05a-4151-8f82-a6594d8c0f37
6fwmw2,thé,445.0,250,195.0,0.5192097122581958,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/e9f41c05-d4ed-4b6c-aba8-e5d17bb581eb
p96w4a,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner",157.0,350,193.0,0.1813030652968665,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/2560a081-c1dd-48cf-aa05-a02ed674827f
xjvrtk,poire,190.0,0,190.0,0.21600081374267782,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/d15f25db-272a-4f8a-a0ae-225438cf4b70
2ahgvr,muesli,238.0,50,188.0,0.26772134100006584,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e
2ahgvr,gauffres,63.0,250,187.0,0.07049045946544286,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/7ee1c208-daaf-4d48-81d3-963dd1301857
8japfq,salade de pomme de terre,360.0,180,180.0,0.38772445236912806,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/d3483c57-c2e2-4657-825f-52070e3da0b8
r3bub9,tomates,255.0,80,175.0,0.26700931615698054,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/b1c79503-9afe-45a3-9889-94724bfcf2b2
p8a2w5,café,78.0,250,172.0,0.08027332180531206,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/dacc4b11-9bfa-4447-8ad5-5bcf3bde997f
xjvrtk,champignons,250.0,80,170.0,0.25429458681617195,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/32289b41-a85a-4563-8e38-c47e7693d2d0
