key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url,reasoning
ppf8hc,thé,276.0,3,273.0,9.756312313867667,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb,"Let's work this out in a step by step way to be sure we have the right answer. The tea is visible in the strainer placed on top of the cup. The strainer contains loose tea leaves, which are lightweight and occupy a small volume. Based on the size of the strainer and the amount of tea leaves visible, I estimate the weight of the tea leaves to be approximately 3 grams."
p96w4a,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner",157.0,350,193.0,3.9234753334196557,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/2560a081-c1dd-48cf-aa05-a02ed674827f,"Let's work this out in a step by step way to be sure we have the right answer. The dish is a gratin made with pasta, tuna, peas, bell peppers, and gratinated cheese. The pasta is the dominant component, with visible rigatoni pieces making up the bulk of the dish. The tuna, peas, and bell peppers are mixed in smaller quantities, and the cheese is melted on top. Based on the size of the plate and the portion of the dish, the total weight of the gratin appears to be moderate. Considering the density of the pasta and the other ingredients, I estimate the total weight of the dish to be approximately 350 grams."
ppf8hc,thé,470.0,330,140.0,8.520005179334456,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/66b9acee-e336-4260-8e14-75bfd6bd7ead,"Let's work this out in a step by step way to be sure we have the right answer. The tea is contained in a standard-sized mug, which appears to be filled close to the brim. A typical mug of this size holds approximately 300-350 ml of liquid. Since tea is primarily water, its density is close to 1 g/ml. Therefore, the weight of the tea is approximately equal to its volume in milliliters. Based on the visual evidence, I estimate the weight of the tea to be 330 grams."
p96w4a,pêche,27.0,150,123.0,0.4300142431697527,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/4e021399-8a90-44fe-b06c-0955cd2280f7,"Let's work this out in a step by step way to be sure we have the right answer. The peach is visible in small pieces distributed across the salad. It appears to be a single peach that has been diced and mixed with the other ingredients. Considering the typical size and weight of a peach, and accounting for the fact that it is fully included in the dish, the estimated weight of the peach is 150 grams."
p8a2w5,lait dans le café,177.0,63,114.0,2.6127152660883075,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/03210130-04f7-45e1-babd-2c0693093101,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a white mug filled with coffee that has milk added, as indicated by the lighter color of the liquid. The mug appears to be of standard size, likely holding around 250 ml of liquid. Assuming the coffee-to-milk ratio is approximately 3:1, the milk would constitute about 25% of the total volume. Therefore, the estimated weight of the milk is 250 ml × 0.25 × 1 g/ml (density of milk) = 62.5 g. Rounding to the nearest whole number, the estimated weight of the milk is 63 grams."
2ahgvr,humus maison,40.0,150,110.0,0.5697267901074712,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,"Let's work this out in a step by step way to be sure we have the right answer. The homemade hummus is placed on a small blue container lid. The hummus appears to be scooped into three medium-sized portions. Considering the density of hummus and the approximate volume of the scoops, the total weight is estimated to be around 150 grams."
xjvrtk,aubergine au four,257.0,150,107.0,3.560662954810307,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/02911570-1e99-4b2c-9ad0-469321a8a342,"Let's work this out in a step by step way to be sure we have the right answer. The aubergine au four (roasted eggplant) is located on the right side of the container. It consists of three large slices, which appear to be roasted and have shrunk slightly due to water loss during cooking. Roasted eggplant is relatively light due to its high water content before cooking, but the slices are thick and substantial. Based on the size and density of the slices, I estimate the total weight of the roasted eggplant to be approximately 150 grams."
xjvrtk,tarte flambée pomme rhubarbe,250.0,150,100.0,3.237084034701541,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f607625b-a07d-423e-a564-4d96ebadf084,"Let's work this out in a step by step way to be sure we have the right answer. The tarte flambée pomme rhubarbe is visible on the plate, covering most of its surface. It appears to be a thin crust tart with a topping of apple and rhubarb pieces. The tart is rectangular, and the visible portion is approximately one-quarter of a full tart. Considering the thin crust and the density of the fruit topping, I estimate the weight of this portion to be around 150 grams."
wrah5h,pizza aux épinards,149.0,240,91.0,1.7556648970607276,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/bd7799bb-241d-4652-8129-fbaf9bb88d41,"Let's work this out in a step by step way to be sure we have the right answer. The image shows two slices of spinach pizza on a plate. The slices are medium-sized, with a thin crust and a visible layer of cheese and spinach on top. Based on the size of the slices and the typical weight of a thin-crust pizza slice with toppings, I estimate each slice to weigh approximately 120 grams. Since there are two slices, the total estimated weight is 240 grams."
p8a2w5,lait dans café,231.0,150,81.0,2.422763174932021,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4a490097-e5f7-42a3-8928-9bdd835d4d17,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'lait dans café,' which refers to the milk mixed into the coffee. The image shows a glass of iced coffee with milk, and the drink appears to be a light beige color, indicating a significant amount of milk relative to coffee. The glass is nearly full, and the ice cubes take up some volume. Based on the size of the glass and the typical ratio of milk to coffee in such drinks, I estimate that approximately 150 ml of milk was used. Since milk has a density close to 1 g/ml, the estimated weight of the milk is 150 grams."
m4egh2,bière grimbergen rouge,249.0,330,81.0,2.6115499158358153,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/444413a1-c868-455d-8634-7cce2244e9be,"Let's work this out in a step by step way to be sure we have the right answer. The image shows a bottle of Grimbergen Rouge beer being held. The bottle appears to be a standard size for this type of beer, which is typically 330 ml. Since the bottle is full, we can estimate the weight of the liquid inside. Beer has a density close to water, approximately 1 g/ml. Therefore, the weight of the beer is approximately 330 grams."
wrah5h,porc,56.0,120,64.0,0.46406836721481287,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ceb176a9-3e1f-48fe-a4ac-1ab12637221f,"Let's work this out in a step by step way to be sure we have the right answer. The pork is located on the bottom right of the plate. It appears to be a single, cooked pork chop with a medium thickness and a slightly browned surface. Based on its size relative to the plate and the other food items, I estimate the pork chop weighs approximately 120 grams."
8japfq,gâteau au chocolat,57.0,120,63.0,0.4649747507445293,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/2a854c3d-0ba9-4c3f-b22c-630cbe2d37cd,"Let's work this out in a step by step way to be sure we have the right answer. The chocolate cake is located on the right side of the plate. It is a single square piece with a dense and moist texture, typical of chocolate cakes. Based on its size relative to the strawberries and the plate, it appears to be approximately 8 cm x 8 cm x 3 cm in dimensions. Considering the density of chocolate cake, I estimate its weight to be around 120 grams."
p8a2w5,lait d'avoine,90.0,150,60.0,0.6992101514955328,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ac28838e-2a46-49a2-98c8-d5c99aed7da4,"Let's work this out in a step by step way to be sure we have the right answer. The oat milk is visible in the bowl, partially covering the cereal. The liquid level is relatively low, suggesting a moderate amount of milk was poured. Considering the size of the bowl and the visible amount of milk, I estimate the volume of oat milk to be approximately 150 ml. Since oat milk has a density close to water (1 g/ml), the estimated weight of the oat milk is 150 grams."
p8a2w5,pillons de poulet,48.0,100,52.0,0.32319047002460183,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/a80cc37c-4f30-4827-84cd-91a2f89042c2,"Let's work this out in a step by step way to be sure we have the right answer. The 'pillons de poulet' (chicken drumsticks) are clearly visible on the plate, located on the right side. There are two drumsticks, and they appear to be medium-sized with a moderate amount of seasoning. Considering the typical weight of a medium chicken drumstick (including the bone), I estimate each to weigh approximately 50 grams. Therefore, the total estimated weight for the two drumsticks is 100 grams."
wrah5h,flocons d'avoine,40.0,90,50.0,0.25896672277612326,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c34091b7-c42f-4e93-ae39-bb28aa3b7819,"Let's work this out in a step by step way to be sure we have the right answer. The flocons d'avoine (oats) are mixed with chia seeds and almond milk, forming the bulk of the mixture on the plate. The mixture appears dense and occupies a significant portion of the plate. Considering the typical density of soaked oats and the visible volume, I estimate the weight of the oats alone to be approximately 90 grams, accounting for their proportion in the mixture."
xjvrtk,oignon frais,80.0,30,50.0,0.5179334455522465,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/59e31b5a-2c5c-48e7-b889-58ed408a3a0a,"Let's work this out in a step by step way to be sure we have the right answer. The fresh onions are visible in the salad portion of the bowl, appearing as small white and green chopped pieces. They are distributed throughout the salad but do not dominate the mixture. Based on their size and distribution, they likely make up a small fraction of the total salad volume. Considering the density of fresh onions and the visible quantity, I estimate the weight of the fresh onions to be approximately 30 grams."
p96w4a,asperges,73.0,120,47.0,0.4442574129224395,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/0513b8db-8592-4ef7-aacf-c117d4030b25,"Let's work this out in a step by step way to be sure we have the right answer. The asparagus is located in the center of the plate, arranged in a bundle. There appear to be approximately 8–10 spears of asparagus, which are of medium thickness and length. Considering the typical weight of a single spear of asparagus (around 12–15g), the total weight for this portion is estimated to be around 120g."
xjvrtk,sardine à la tomate,80.0,120,40.0,0.41434675644179725,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/12babb66-d6e5-4c11-afc5-25290865b2a5,"Let's work this out in a step by step way to be sure we have the right answer. The sardines in tomato sauce are located at the top of the plate. There appear to be three small sardines covered in a moderate amount of tomato sauce. Sardines are dense and compact, and the tomato sauce adds some additional weight. Based on the size and density of the sardines and the visible amount of sauce, I estimate the total weight of the sardines with the sauce to be approximately 120 grams."
ppf8hc,risotto aux asperges,210.0,250,40.0,1.0876602356597178,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/2833b10a-52c7-409b-ad86-f6147c323f9e,"Let's work this out in a step by step way to be sure we have the right answer. The risotto aux asperges is clearly visible on the plate, with asparagus pieces mixed into the rice. The portion appears to cover a moderate area of the plate and is piled to a medium height. Considering the density of risotto, which is relatively high due to the rice and creamy texture, and the visible volume, I estimate the weight of the risotto aux asperges to be approximately 250 grams."
6fwmw2,thon,150.0,110,40.0,0.7769001683283698,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628,"Let's work this out in a step by step way to be sure we have the right answer. The tuna is visible as pinkish chunks spread across the salad, primarily under the corn and around the edges of the plate. It appears to be canned tuna, which is typically dense and flaky. Based on the visible quantity, the tuna seems to cover a significant portion of the salad, likely corresponding to a standard small can of tuna (approximately 120g net weight). Adjusting slightly for the visible portion and potential gaps, the estimated weight of the tuna is 110 grams."
ppf8hc,filet de canard,80.0,120,40.0,0.41434675644179725,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/7e81c5ce-4e03-49fb-93d4-0aca33571c65,"Let's work this out in a step by step way to be sure we have the right answer. The 'filet de canard' is located at the top of the plate, consisting of two slices of duck breast. Each slice appears to be medium-sized, with a visible layer of fat on one side. Considering the typical density of cooked duck breast and the size of the slices, I estimate the total weight of the two slices to be approximately 120 grams."
wrah5h,porridge,163.0,200,37.0,0.7809141525313997,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/2e7b02f3-969a-4269-bf8a-ee2710c121bc,"Let's work this out in a step by step way to be sure we have the right answer. The porridge is the base of the dish and occupies the majority of the bowl. It appears to be a cooked oatmeal mixture, which is dense and compact. Considering the size of the bowl and the visible portion of porridge, I estimate the weight to be approximately 200 grams, as cooked porridge typically has a high water content and is relatively heavy."
p8a2w5,lait,114.0,150,36.0,0.531399715136605,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4c05ee25-7f4e-4aba-8d89-4b7c5345b4b8,"Let's work this out in a step by step way to be sure we have the right answer. The specified food item is 'lait' (milk). The milk is visible in the bowl, partially covering the cereal. Based on the size of the bowl and the level of milk relative to the cereal, it appears to be a moderate amount. Considering the density of milk and the visible volume, I estimate the milk to weigh approximately 150 grams."
p96w4a,carotte,30.0,65,35.0,0.13595752945746473,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56,"Let's work this out in a step by step way to be sure we have the right answer. The carrots are located on the top right section of the plate, cut into sticks. They appear to be a small portion, with approximately 6–8 sticks visible. Based on their size and thickness, these sticks likely come from a medium-sized carrot. A medium carrot typically weighs around 60–70 grams. Considering the visible portion and adjusting for the cut size, the estimated weight of the carrot sticks is 65 grams."
wrah5h,pépites de chocolat,9.0,40,31.0,0.036125857827269195,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c0fb0561-9aaf-42ef-b18e-2677b0c8f7d7,"Let's work this out in a step by step way to be sure we have the right answer. The chocolate chips are located on the top right of the plate, forming a small pile. They are distinct and not mixed with other ingredients. Based on their size and the visible quantity, the pile appears to contain approximately 2–3 tablespoons of chocolate chips. Considering that 1 tablespoon of chocolate chips typically weighs around 15 grams, the total estimated weight is approximately 30–45 grams. Adjusting for the density and compactness of the pile, I estimate the weight to be 40 grams."
xjvrtk,ananas,120.0,90,30.0,0.46614010099702186,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f0284a02-724e-4310-940d-e0fdd9893c70,"Let's work this out in a step by step way to be sure we have the right answer. The ananas (pineapple) pieces are visible in the jar on the left, mixed with other ingredients like cucumber, tomato, and seeds. The pineapple chunks are yellow and appear to be cut into small cubes. Based on the jar's size and the proportion of pineapple relative to the other ingredients, the pineapple seems to make up about 20-25% of the jar's contents. Assuming the jar holds approximately 400g of mixed salad, the estimated weight of the pineapple is around 90g."
p96w4a,jus de pommes,130.0,100,30.0,0.5049851094134403,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/45298d29-08de-4024-b894-1aad62531254,"Let's work this out in a step by step way to be sure we have the right answer. The apple juice is visible in a clear glass, and it appears to fill approximately one-third of the glass. Based on the size of the glass, which seems to be a standard medium-sized drinking glass with a capacity of about 300 ml when full, the volume of the juice is estimated to be around 100 ml. Since the density of apple juice is close to that of water (1 g/ml), the weight of the juice is approximately 100 grams."
8japfq,café,60.0,30,30.0,0.23307005049851093,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/86ceb725-f8aa-4f49-a72d-d44fb229ea99,"Let's work this out in a step by step way to be sure we have the right answer. The café is served in a small ceramic cup, which is typical for an espresso or similar coffee. The cup appears to be filled close to the top, and the liquid has a crema layer, indicating it is likely an espresso. A standard espresso shot typically weighs around 30 grams, including the crema. Based on the visual evidence, the estimated weight of the coffee is 30 grams."
ppf8hc,brocolis,139.0,110,29.0,0.5219474297552764,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/5dfa5302-a2e6-4c74-94fd-8e014ec012bc,"Let's work this out in a step by step way to be sure we have the right answer. The broccoli is located on the left side of the plate. It appears to consist of several medium-sized florets, which are dense but lightweight due to their structure. Based on the visible portion, the broccoli likely weighs around 100–120 grams. Considering the density and the volume occupied on the plate, I estimate the total weight of the broccoli to be 110 grams."
p96w4a,gruyère,7.0,36,29.0,0.026285122361776513,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/1d959fbd-77c5-41db-818a-806ffb0e2752,"Let's work this out in a step by step way to be sure we have the right answer. The gruyère cheese is visible on the plate as four small triangular pieces. Each piece appears to be approximately 2-3 cm in length and 1 cm thick. Gruyère is a dense cheese, so its weight is relatively high for its size. Based on the size and density, I estimate each piece to weigh around 8-10 grams. With four pieces, the total estimated weight is approximately 36 grams."
6fwmw2,mélange de légumes,146.0,120,26.0,0.49151883982908195,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1ddcaacb-fd1a-4ee3-a08b-a3721350d9a9,"Let's work this out in a step by step way to be sure we have the right answer. The 'mélange de légumes' is located on the bottom left of the plate. It consists of diced yellow bell peppers, zucchini, and possibly some other vegetables. The portion appears to be a small pile, roughly covering a quarter of the plate. Considering the density of cooked vegetables and the visible volume, I estimate the weight of the vegetable mix to be approximately 120 grams."
2ahgvr,sauce andalouse,6.0,30,24.0,0.018645604039880876,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5b8a0853-ecc4-4015-bc9a-2b50766f873a,"Let's work this out in a step by step way to be sure we have the right answer. The sauce andalouse is located on the right side of the plate, served as a small dollop. It appears to be a thick, creamy sauce, and the portion size is relatively small, roughly equivalent to about 1–2 tablespoons. Considering the density of the sauce, I estimate the weight to be approximately 30 grams."
p8a2w5,cocktail hugo,227.0,250,23.0,0.6760326298070698,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/70f588a4-d721-46c4-8289-13adaeac86cd,"Let's work this out in a step by step way to be sure we have the right answer. The cocktail Hugo is served in a medium-sized glass, filled with ice cubes, lime slices, mint leaves, and a clear liquid, which is likely a mix of sparkling water, elderflower syrup, and Prosecco. The glass appears to be about 3/4 full. Considering the volume of the glass and the density of the liquid, I estimate the total weight of the cocktail (excluding the glass) to be approximately 250 grams."
xjvrtk,café au lait,298.0,275,23.0,0.8874789589537745,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/da3473b4-282c-4045-80b1-194b8fe5cbcb,"Let's work this out in a step by step way to be sure we have the right answer. The café au lait is served in a standard-sized ceramic mug, which appears to be filled close to the top. A typical mug of this size holds approximately 250-300 ml of liquid. Considering the density of café au lait, which is similar to water, the weight of the liquid would be roughly equivalent to its volume in milliliters. Therefore, the estimated weight of the café au lait is 275 grams."
p8a2w5,"dalh de lentilles corail (lentilles corail, oignon, carottes, tomates concassées, 1cs huilde d'olive, épices)",271.0,250,21.0,0.7368898096594587,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/82b53493-1c97-472b-9ec6-8cc698b8cfe4,"Let's work this out in a step by step way to be sure we have the right answer. The dalh de lentilles corail is located on the right side of the bowl, occupying approximately half of the bowl's volume. It appears to be a thick mixture with visible lentils, carrots, and a tomato-based sauce. Considering the density of the dalh and the size of the bowl, I estimate the portion to weigh around 250 grams."
p8a2w5,salade verte,15.0,35,20.0,0.03884500841641849,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/23ebd489-c573-4734-9acd-0247f0943fa5,"Let's work this out in a step by step way to be sure we have the right answer. The 'salade verte' is clearly visible on the plate, consisting of a small pile of green lettuce leaves. The portion appears to be modest, covering a small area of the plate and not piled very high. Lettuce is low in density, so even a visually larger portion would weigh relatively little. Based on the visible volume and typical weight of lettuce, I estimate the weight of the 'salade verte' to be approximately 35 grams."
xjvrtk,tonic au gingembre,200.0,220,20.0,0.5179334455522465,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/c70f93c3-23cc-4817-bbe9-93091771b273,"Let's work this out in a step by step way to be sure we have the right answer. The specified item is 'tonic au gingembre,' which is visible in the image as a labeled glass bottle. The bottle appears to be a standard 200-250 ml size, commonly used for tonic beverages. Since the bottle is unopened and full, the weight of the liquid inside can be estimated based on its volume. Assuming the density of the tonic is close to water (1 g/ml), the estimated weight of the liquid is approximately 200-250 grams. Based on the visual evidence, I estimate the weight to be 220 grams."
xjvrtk,carotte,100.0,120,20.0,0.25896672277612326,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/1fa390c1-9169-42c0-abbd-3aa6e1a5c90b,"Let's work this out in a step by step way to be sure we have the right answer. The carrots are located in the top right section of the bowl. They are grated and occupy a significant portion of the bowl, forming a dense pile. Grated carrots are relatively lightweight due to their low density. Based on the visible volume and comparing it to the other ingredients, I estimate the weight of the grated carrots to be approximately 120 grams."
r3bub9,croissant au jambon,70.0,90,20.0,0.1812767059432863,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/ef5d035f-6fc5-4951-aa67-72239a7b5bdf,"Let's work this out in a step by step way to be sure we have the right answer. The croissant au jambon is clearly visible in the image, placed on a paper wrapper. It appears to be a standard-sized croissant with ham filling, and the ham is slightly protruding from one end. Croissants are typically light and flaky, with the addition of ham slightly increasing the weight. Based on the size and the visible density of the croissant, I estimate its weight to be approximately 90 grams."
p96w4a,mozarella,80.0,100,20.0,0.20717337822089862,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/fab584a3-42d9-4217-a493-ec0d71878e56,"Let's work this out in a step by step way to be sure we have the right answer. The mozzarella is located on the left side of the plate, layered alternately with tomato slices. There are five visible slices of mozzarella, each approximately the size of a medium slice of fresh mozzarella. Based on the typical density and size of fresh mozzarella slices, I estimate each slice to weigh around 20 grams. Multiplying this by five slices gives a total estimated weight of 100 grams."
