key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
m4egh2,eau,730.0,1500,770.0,45.784800847112486,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/f62a6405-1433-483e-ac35-e0215d9f0f5c
xjvrtk,artichaut,560.0,250,310.0,14.140262279058401,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/564d4597-6c8d-4f21-897f-0dbcfec3c3ad
ppf8hc,thé,276.0,3,273.0,6.137329966604219,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb
2ahgvr,bière boxer,250.0,500,250.0,5.0908202329559336,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cc0236be-003c-4461-a923-2628da9296df
p8a2w5,café froid,72.0,300,228.0,1.3371344791072737,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4a490097-e5f7-42a3-8928-9bdd835d4d17
ppf8hc,galette au sarrasin,50.0,250,200.0,0.8145312372729494,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/e006559d-62c1-44d4-8a5c-ba881c44c149
p8a2w5,lait dans le café,62.0,250,188.0,0.9494176101653499,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/1761d954-a2f9-48f1-b3ea-35ac22f6820c
wrah5h,galette wraps,30.0,150,120.0,0.2932312454182618,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/8c36c212-67bf-4a50-b2ec-e4b780749488
wrah5h,graines de chia,8.0,120,112.0,0.07298199885965627,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/c34091b7-c42f-4e93-ae39-bb28aa3b7819
2ahgvr,carottes,48.0,150,102.0,0.398794493768836,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5dc42db1-f52c-4035-ae62-bd9adc696284
ppf8hc,comcombre et vinaigrette,97.0,0,97.0,0.7663924411501181,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/ffdb5f17-85f2-45e4-b19f-25d59724fa3a
m4egh2,gnocchi au basilic,239.0,150,89.0,1.7325893948032907,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/9631ea21-d42e-4129-bd57-c4a1aa521e20
p8a2w5,ratatouille,232.0,150,82.0,1.549564225788059,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4f96d4f3-ccf5-48a1-bc78-4d09451b3545
6fwmw2,eau chaude,332.0,250,82.0,2.2174798403518774,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/f8cf7e83-ab09-4d49-823b-72e247e390f4
p96w4a,vin rouge,70.0,150,80.0,0.45613749287285166,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/9bdb01fc-9658-43e7-9393-81aef96a46de
xjvrtk,ananas,120.0,50,70.0,0.6842062393092775,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f0284a02-724e-4310-940d-e0fdd9893c70
p8a2w5,patates sautés,82.0,150,68.0,0.4541826179033966,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/273d9044-6fbe-4ba8-948d-3ce80f7976f0
