key,dish_id,eaten_at,eaten_at_utc_offset,image_id,weight,description,remarks,all_food_items
2ahgvr,364204,2022-05-17T10:17:52Z,120,1886c243-b497-4c0c-b749-b380873c5f23,16.0,Bout de pain au lait,,Bout de pain au lait
2ahgvr,364205,2022-05-17T10:19:19Z,120,4f969f6c-979b-4e8e-878b-283d5bbc9ad5,14.0,Bout de pain au lait,,Bout de pain au lait
2ahgvr,364867,2022-05-20T12:14:15Z,120,c954f821-fbb7-4a62-8de5-b783fd087c94,496.0,Bière pression,,Bière pression
2ahgvr,364955,2022-05-20T18:45:53Z,120,cc0236be-003c-4461-a923-2628da9296df,250.0,Bière Boxer,,Bière Boxer
2ahgvr,364997,2022-05-20T21:00:27Z,120,86696374-9089-4002-b305-7567294a5da0,132.0,Verre de vin rouge,,"Verre de vin rouge, Verre de vin rouge"
2ahgvr,364996,2022-05-20T21:33:25Z,120,86696374-9089-4002-b305-7567294a5da0,132.0,Verre de vin rouge,"Oublié de peser + faire photo du 2ème, donc duppliquer","Verre de vin rouge, Verre de vin rouge"
6fwmw2,358747,2022-05-02T07:37:18Z,120,7826992b-fc26-4b9a-86e5-fb003e3f80f5,21.0,Lait,,"Lait, Café "
6fwmw2,358747,2022-05-02T07:37:18Z,120,7826992b-fc26-4b9a-86e5-fb003e3f80f5,77.0,Café ,,"Lait, Café "
6fwmw2,358757,2022-05-02T08:07:55Z,120,cb3496da-5eda-49b3-9a80-48141380eba3,451.0,Eau chaude ,Avec jus de citron ,Eau chaude 
6fwmw2,359921,2022-05-05T08:26:10Z,120,f8cf7e83-ab09-4d49-823b-72e247e390f4,332.0,Eau chaude,,"Eau chaude, Jus de citron "
6fwmw2,360310,2022-05-06T07:21:50Z,120,e9f41c05-d4ed-4b6c-aba8-e5d17bb581eb,445.0,Thé ,,Thé 
6fwmw2,360812,2022-05-07T11:39:52Z,120,32884400-96d3-4152-a9ec-565fe33a5b2d,100.0,Café,,"Café, Café "
6fwmw2,365715,2022-05-24T14:38:58Z,120,32884400-96d3-4152-a9ec-565fe33a5b2d,100.0,Café ,,"Café, Café "
8japfq,358392,2022-05-01T07:40:44Z,120,b0b63155-334f-4a68-958f-4195fa493daf,457.0,Thé,Sans sucre ,Thé
8japfq,358491,2022-05-01T11:22:40Z,120,8b8fc57f-7ffd-471d-aeb3-7b691bcf664d,32.0,Café noir,Sans sucre,"Café noir, Œufs en chocolat "
8japfq,358605,2022-05-01T17:32:47Z,120,b4fdbc06-7591-4aee-83e3-ab3c60d47823,146.0,Vin rouge ,,Vin rouge 
