id,00_MSG_00_TEXT,00_MSG_01_IMAGE,00_MSG_02_TEXT
0,bout de pain au lait,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1886c243-b497-4c0c-b749-b380873c5f23,bout de pain au lait
1,bout de pain au lait,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/4f969f6c-979b-4e8e-878b-283d5bbc9ad5,bout de pain au lait
2,bière pression,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c954f821-fbb7-4a62-8de5-b783fd087c94,bière pression
3,bière boxer,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/cc0236be-003c-4461-a923-2628da9296df,bière boxer
4,"verre de vin rouge, verre de vin rouge",https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/86696374-9089-4002-b305-7567294a5da0,verre de vin rouge
5,"verre de vin rouge, verre de vin rouge",https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/86696374-9089-4002-b305-7567294a5da0,verre de vin rouge
6,"lait, café ",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/7826992b-fc26-4b9a-86e5-fb003e3f80f5,lait
7,"lait, café ",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/7826992b-fc26-4b9a-86e5-fb003e3f80f5,café 
8,eau chaude ,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/cb3496da-5eda-49b3-9a80-48141380eba3,eau chaude 
9,"eau chaude, jus de citron ",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/f8cf7e83-ab09-4d49-823b-72e247e390f4,eau chaude
10,thé ,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/e9f41c05-d4ed-4b6c-aba8-e5d17bb581eb,thé 
11,"café, café ",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/32884400-96d3-4152-a9ec-565fe33a5b2d,café
12,"café, café ",https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/32884400-96d3-4152-a9ec-565fe33a5b2d,café 
13,thé,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b0b63155-334f-4a68-958f-4195fa493daf,thé
14,"café noir, œufs en chocolat ",https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/8b8fc57f-7ffd-471d-aeb3-7b691bcf664d,café noir
15,vin rouge ,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b4fdbc06-7591-4aee-83e3-ab3c60d47823,vin rouge 
16,chocolat au lait ,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/f467f9d0-b394-4840-8091-ee00b38e0a96,chocolat au lait 
