key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
m4egh2,eau,730.0,1500,770.0,2.5751446543185557,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/f62a6405-1433-483e-ac35-e0215d9f0f5c
m4egh2,"poudre ""compétition"" de sponser à la framboise",35.0,500,465.0,0.07456053949303415,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/f62a6405-1433-483e-ac35-e0215d9f0f5c
p8a2w5,café au lait,653.0,250,403.0,1.2056084185835558,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ea4d3780-8834-4824-adc9-cdd0133a577d
wrah5h,velouté de champignons,691.0,300,391.0,1.2377782562683537,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/f298c84c-70c1-4dfb-bf55-e8647e33b230
r3bub9,biere,837.0,500,337.0,1.2922406644707003,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/d3adf4f9-04a3-4b20-a3db-7b812dbb20e6
xjvrtk,artichaut,560.0,250,310.0,0.7953124212590309,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/564d4597-6c8d-4f21-897f-0dbcfec3c3ad
2ahgvr,sauce tomate au thon,44.0,350,306.0,0.061682525575066774,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed
6fwmw2,salade,70.0,350,280.0,0.08979333788408413,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628
ppf8hc,thé,276.0,3,273.0,0.34519124606581486,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb
ppf8hc,pâte carbonara,82.0,350,268.0,0.10067848945615473,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/4d4e6539-b86f-4019-b2aa-0c15dbce0667
p8a2w5,"curry (lait de coco, tofu, oignon, carottes, poivrons verts)",86.0,350,264.0,0.10401367057756358,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/62095991-e788-405d-a5d5-b5ad2d8bd2e0
r3bub9,eau,500.0,250,250.0,0.5726615936484958,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/fa6f2a75-c65b-4528-897c-785a52ada5d1
xjvrtk,thé vert menthe,500.0,250,250.0,0.5726615936484958,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5a2a11cf-9b59-46bd-88cc-f5b4fbc4b946
xjvrtk,couscous,100.0,350,250.0,0.11453231872969914,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/611431d0-f119-4ef8-ad73-bb27c5075c3c
xjvrtk,tomates cerises,500.0,250,250.0,0.5726615936484958,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/ee053338-3341-4a7f-af2d-e3e7f67e466a
xjvrtk,tomates cerises,500.0,250,250.0,0.5726615936484958,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/5ccbcf64-3631-48df-9e8a-85fb33dbf912
p96w4a,cacao,2.0,250,248.0,0.002272321203597231,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/87ad5ad5-a05a-4151-8f82-a6594d8c0f37
p96w4a,cacao,2.0,250,248.0,0.002272321203597231,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/0a9541fa-ce48-42c4-b35d-d9ffd753b7c5
r3bub9,eau,743.0,500,243.0,0.8271478245731381,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/b52703d8-664c-4607-9016-34a311eaebb6
m4egh2,mélange de céréales,58.0,300,242.0,0.0643030250276023,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/9942fa79-be93-458e-b6a9-22fda9333ff4
r3bub9,pâtes sauce tomates,110.0,350,240.0,0.1209461285785623,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/59e98269-25b1-4c0c-9165-523243a50528
wrah5h,sirop,15.0,250,235.0,0.016149056940887578,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/430eb052-fb0e-4c31-bd54-a9567a305cff
p96w4a,eau,380.0,150,230.0,0.4004049862790282,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/3b57bdc1-7a05-46ff-ba56-39489697807d
r3bub9,eau,480.0,250,230.0,0.5057747195103515,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/c6be9e2b-d21a-49a2-b02e-87bde47b820e
6fwmw2,jus de citron,20.0,250,230.0,0.021073946646264642,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/f8cf7e83-ab09-4d49-823b-72e247e390f4
p8a2w5,café froid,72.0,300,228.0,0.07520650177066965,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4a490097-e5f7-42a3-8928-9bdd835d4d17
p8a2w5,salade,24.0,250,226.0,0.024848931871595526,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/e7f3470c-66d1-410d-8423-4bc12438ecb0
r3bub9,eau,472.0,250,222.0,0.4800461794309118,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/f84aa73d-e307-420e-ac24-8cd4c87d47ca
ppf8hc,pâte sauce tomate et viande hachée,229.0,450,221.0,0.23185464474365378,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/398550dd-4f76-4c6b-ba6a-8a2fedd9dc97
ppf8hc,thé,470.0,250,220.0,0.47370567026603566,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/66b9acee-e336-4260-8e14-75bfd6bd7ead
r3bub9,eau,469.0,250,219.0,0.4705491595618452,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/7956bf95-d221-49e2-8c19-8719f2848ef8
m4egh2,racines rouges,32.0,250,218.0,0.03195909821833525,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/c31013e3-9c81-4ba6-b85b-e3c45b062457
8japfq,salade verte,33.0,250,217.0,0.032806637376935024,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/bd977caf-2681-4a8e-9cd6-1115c3f3c04b
p8a2w5,bière,329.0,120,209.0,0.31501427072691374,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/faa4e3cc-5d10-4bd7-a2ae-7eb4a3945897
8japfq,thé,457.0,250,207.0,0.43338571278043236,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/b0b63155-334f-4a68-958f-4195fa493daf
2ahgvr,porridge,44.0,250,206.0,0.04152483747863972,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a
r3bub9,tomates,255.0,50,205.0,0.2394870784638009,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/b1c79503-9afe-45a3-9889-94724bfcf2b2
2ahgvr,porridge,46.0,250,204.0,0.04299085115837987,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d
6fwmw2,eau chaude,451.0,250,201.0,0.4152987690066383,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/cb3496da-5eda-49b3-9a80-48141380eba3
r3bub9,eau,498.0,300,198.0,0.4517337902409302,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/47934edb-d2f2-4d0a-86c8-0a34ebd0e018
m4egh2,tomate (environ 85g) + oignon + huile d'olive,103.0,300,197.0,0.09295901117377302,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/a4eab82d-d254-432e-9161-cd8905458e25
