id,00_MSG_00_IMAGE,00_MSG_01_TEXT
0,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31792c68-de04-433c-a306-7598eada2d2f,pomme
1,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,muesli
2,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,blanc battu
3,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,flocons d'avoine
4,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,graines de chia
5,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/aa859e5b-563f-472c-9914-036722ebf60e,miel
6,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/09cec6f6-e759-4f53-9d4b-a24ec0c4be4e,banane
7,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/d50294a6-302a-456b-a1e1-1d7ecf04f774,carotte pelée 
8,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3f0e642f-99d9-405d-a594-a5dd0f4d93f8,riz basmati cuit
9,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3f0e642f-99d9-405d-a594-a5dd0f4d93f8,haricots coco
10,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3f0e642f-99d9-405d-a594-a5dd0f4d93f8,dal de lentilles rouges
11,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c9826c1c-42e1-4363-9dcc-cf68d7642c4e,gyozas végétariens (3 pièces)
12,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d,porridge
13,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b8540d8b-d377-4484-abcd-0071bf431d0d,purée d'amande 
14,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/54c720ac-21ac-42f0-8c86-338cfeb132d6,pomme
15,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,pâtes aux crevettes
16,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,pâtes cuites
17,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,crême fraîche aux herbes
18,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/0db22403-901c-4a3a-988b-7dc61881cd1c,crevettes décortiquées cuites
19,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,toast 
20,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/feb15752-d5e3-4f73-8eeb-9fb560cc6f6b,fromage frais
21,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/19373bec-d875-41b2-ba34-8dc05821081b,pomme
22,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/3718d88c-ba98-4da1-84dc-7d5ad0a4df92,colrave crue 
23,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/a35f3211-3b33-4826-97b8-3af69655dada,porridge salé
24,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/be3c4146-9940-432b-a606-c01e319978f7,poire
25,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/26658360-caa6-4e64-a811-7e5538268455,carotte
26,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/db02ddb8-4bbb-4f48-bc32-55a1cde35ba5,humus
27,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,porridge
28,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,purée d'amande
29,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,figue séchée
30,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1daf744b-ac33-4b3d-99b3-c6de4358a61a,cerneaux de noix
31,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/5dc42db1-f52c-4035-ae62-bd9adc696284,carottes
32,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a,humus maison
33,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,salade grecque
34,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c476a6d0-acb2-45fd-b168-84822bc98003,sauce à salade maison
35,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/1886c243-b497-4c0c-b749-b380873c5f23,bout de pain au lait
36,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/4f969f6c-979b-4e8e-878b-283d5bbc9ad5,bout de pain au lait
37,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/bd4b5178-cab2-40c8-8df4-a328cb700a6a,pâtes avec sauce à la demi-crème + safran
38,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/bd4b5178-cab2-40c8-8df4-a328cb700a6a,brochettes de saucisses
39,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/b6a1c604-8dc0-4bb1-ae48-48d6d5f97d14,banane
40,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,pâtes
41,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,sauce tomate au thon
42,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,poivrons
43,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/31d83e4b-304c-4128-a36d-aa34317ebaed,parmesan râpé
44,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,flocons d'avoine
45,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,graines de chia
46,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,blanc battu
47,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,miel 
48,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/fd966b55-230a-4e0e-818b-3580319800c6,purée d'amande
49,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/73ff013c-7f3f-4d46-90c2-77f1e0a1a9da,yogourt caramel beurre salé
50,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/02d38718-0a21-4e6e-bffd-41eac4914809,sandwich au fromage
51,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/128345aa-69cb-4443-a341-a6ad045a7753,haricots coco
52,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/128345aa-69cb-4443-a341-a6ad045a7753,riz et lentilles au curry
53,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/c954f821-fbb7-4a62-8de5-b783fd087c94,bière pression
54,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e557b056-a7bc-46bb-acb3-8a704b79c6e3,sandwich au chèvre chaud
